condition,n_cores,trial,cycles_per_load,total_loads,elapsed_sec,imc_bw_total_gbps,imc_bw_read_gbps,imc_bw_write_gbps,imc_fallback,agg_reported_bw
Q,0,0,81.483,34362560,1.0,0.0,0.0,0.0,False,0.0
Q,0,1,81.396,34399552,1.0,0.0,0.0,0.0,False,0.0
Q,0,2,81.429,34385632,1.0,0.0,0.0,0.0,False,0.0
Q,0,3,81.448,34377344,1.0,0.0,0.0,0.0,False,0.0
Q,0,4,81.436,34382368,1.0,0.0,0.0,0.0,False,0.0
Q,0,5,81.442,34380000,1.0,0.0,0.0,0.0,False,0.0
Q,0,6,81.404,34395872,1.0,0.0,0.0,0.0,False,0.0
Q,0,7,81.42,34389280,1.0,0.0,0.0,0.0,False,0.0
Q,0,8,81.409,34393888,1.0,0.0,0.0,0.0,False,0.0
Q,0,9,81.408,34394400,1.0,0.0,0.0,0.0,False,0.0
Q,0,10,81.437,34382048,1.0,0.0,0.0,0.0,False,0.0
Q,0,11,81.43,34385152,1.0,0.0,0.0,0.0,False,0.0
Q,0,12,81.412,34392608,1.0,0.0,0.0,0.0,False,0.0
Q,0,13,81.41,34393664,1.0,0.0,0.0,0.0,False,0.0
Q,0,14,81.429,34385280,1.0,0.0,0.0,0.0,False,0.0
Q,0,15,81.444,34379360,1.0,0.0,0.0,0.0,False,0.0
Q,0,16,81.416,34390816,1.0,0.0,0.0,0.0,False,0.0
Q,0,17,81.426,34386624,1.0,0.0,0.0,0.0,False,0.0
Q,0,18,81.442,34379904,1.0,0.0,0.0,0.0,False,0.0
Q,0,19,81.421,34388672,1.0,0.0,0.0,0.0,False,0.0
A,2,0,292.576,9570112,1.0,16.0,15.94,0.07,False,2.08
A,2,1,284.719,9834208,1.0,16.0,15.94,0.07,False,2.08
A,2,2,272.879,10260928,1.0,16.0,15.94,0.07,False,2.08
A,2,3,270.259,10360384,1.0,16.0,15.94,0.07,False,2.08
A,2,4,267.948,10449728,1.0,16.0,15.94,0.07,False,2.08
A,2,5,264.986,10566560,1.0,16.0,15.94,0.07,False,2.08
A,2,6,255.858,10943520,1.0,16.0,15.94,0.07,False,2.08
A,2,7,257.043,10893088,1.0,16.0,15.94,0.07,False,2.08
A,2,8,255.853,10943744,1.0,16.0,15.94,0.07,False,2.08
A,2,9,254.177,11015904,1.0,16.0,15.94,0.07,False,2.08
A,2,10,244.38,11457536,1.0,16.0,15.94,0.07,False,2.08
A,2,11,246.337,11366464,1.0,16.0,15.94,0.07,False,2.08
A,2,12,246.787,11345792,1.0,16.0,15.94,0.07,False,2.08
