condition,n_aggr_cores,trial,cycles_per_load,total_loads,elapsed_sec,tsc_hz,aggregate_bw_gbps,msr_1a4_sample
Q,0,0,81.441,34380320,1.0,2799975616,0.0,N/A
Q,0,1,81.421,34388736,1.0,2799975616,0.0,N/A
Q,0,2,81.434,34383232,1.0,2799975616,0.0,N/A
Q,0,3,81.437,34382304,1.0,2799975616,0.0,N/A
Q,0,4,81.426,34386720,1.0,2799975616,0.0,N/A
Q,0,5,81.439,34381152,1.0,2799975616,0.0,N/A
Q,0,6,81.423,34388000,1.0,2799975616,0.0,N/A
Q,0,7,81.447,34377920,1.0,2799975616,0.0,N/A
Q,0,8,81.459,34372928,1.0,2799975616,0.0,N/A
Q,0,9,81.448,34377280,1.0,2799975616,0.0,N/A
Q,0,10,81.479,34364256,1.0,2799975616,0.0,N/A
Q,0,11,81.445,34378752,1.0,2799975616,0.0,N/A
Q,0,12,81.424,34387616,1.0,2799975616,0.0,N/A
Q,0,13,81.465,34370144,1.0,2799975616,0.0,N/A
Q,0,14,81.433,34383808,1.0,2799975616,0.0,N/A
Q,0,15,81.434,34383392,1.0,2799975616,0.0,N/A
Q,0,16,81.425,34387072,1.0,2799975616,0.0,N/A
Q,0,17,81.438,34381888,1.0,2799975616,0.0,N/A
Q,0,18,81.434,34383232,1.0,2799975616,0.0,N/A
Q,0,19,81.483,34362560,1.0,2799975616,0.0,N/A
Q,0,20,81.432,34384032,1.0,2799975616,0.0,N/A
Q,0,21,81.438,34381792,1.0,2799975616,0.0,N/A
Q,0,22,81.429,34385344,1.0,2799975616,0.0,N/A
Q,0,23,81.407,34394944,1.0,2799975616,0.0,N/A
Q,0,24,81.435,34382848,1.0,2799975616,0.0,N/A
Q,0,25,81.441,34380544,1.0,2799975616,0.0,N/A
Q,0,26,81.433,34383904,1.0,2799975616,0.0,N/A
Q,0,27,81.437,34382080,1.0,2799975616,0.0,N/A
Q,0,28,81.431,34384672,1.0,2799975616,0.0,N/A
Q,0,29,81.464,34370912,1.0,2799975616,0.0,N/A
A,2,0,292.897,9559616,1.0,2799980635,2.08,None
A,2,1,285.489,9807680,1.0,2799980635,2.08,None
A,2,2,273.165,10250144,1.0,2799980635,2.08,None
A,2,3,269.861,10375648,1.0,2799980635,2.08,None
A,2,4,266.672,10499744,1.0,2799980635,2.08,None
A,2,5,263.269,10635424,1.0,2799980635,2.08,None
A,2,6,254.761,10990624,1.0,2799980635,2.08,None
A,2,7,256.116,10932512,1.0,2799980635,2.08,None
A,2,8,255.011,10979840,1.0,2799980635,2.08,None
A,2,9,254.034,11022080,1.0,2799980635,2.08,None
A,2,10,243.399,11503648,1.0,2799980635,2.08,None
A,2,11,245.627,11399328,1.0,2799980635,2.08,None
A,2,12,242.491,11546720,1.0,2799980635,2.08,None
A,2,13,236.341,11847232,1.0,2799980635,2.08,None
A,2,14,237.136,11807520,1.0,2799980635,2.08,None
A,2,15,237.379,11795424,1.0,2799980635,2.08,None
A,2,16,237.688,11780096,1.0,2799980635,2.08,None
A,2,17,238.795,11725472,1.0,2799980635,2.08,None
A,2,18,233.385,11997248,1.0,2799980635,2.08,None
A,2,19,225.437,12420256,1.0,2799980635,2.08,None
A,2,20,218.889,12791808,1.0,2799980635,2.08,None
A,2,21,214.341,13063200,1.0,2799980635,2.08,None
A,2,22,212.317,13187744,1.0,2799980635,2.08,None
A,2,23,217.155,12893920,1.0,2799980635,2.08,None
A,2,24,220.305,12709600,1.0,2799980635,2.08,None
A,2,25,222.932,12559840,1.0,2799980635,2.08,None
A,2,26,224.162,12490912,1.0,2799980635,2.08,None
A,2,27,224.99,12444960,1.0,2799980635,2.08,None
