condition,n_cores,trial,read_gbps,write_gbps,total_gbps,cas_rd,cas_wr,fallback
A,1,0,7.95,0.05,8.01,621331627,4208798,False
A,1,1,7.9,0.05,7.95,617179538,4127070,False
A,1,2,7.91,0.05,7.96,618299425,3703263,False
A,1,3,7.84,0.05,7.88,612441450,3520650,False
A,1,4,7.87,0.05,7.91,614560636,3521979,False
A,2,0,15.71,0.05,15.76,1226957787,4201673,False
A,2,1,15.95,0.05,16.01,1246352132,4040904,False
A,2,2,15.82,0.06,15.88,1236156528,4635547,False
A,2,3,15.75,0.07,15.82,1230766752,5314482,False
A,2,4,15.95,0.06,16.0,1245731536,4503662,False
B,1,0,6.76,0.05,6.81,528448152,3738462,False
B,1,1,6.75,0.05,6.8,527279631,3730190,False
B,1,2,14.77,0.05,14.82,1153748093,3818630,False
B,1,3,14.78,0.06,14.84,1154833076,4533824,False
B,1,4,14.79,0.06,14.86,1155846977,4965435,False
B,3,0,20.25,0.21,20.46,1581805347,16700536,False
B,3,1,20.4,0.05,20.45,1594084747,3844154,False
B,3,2,20.41,0.05,20.46,1594544152,4106717,False
B,3,3,20.37,0.05,20.42,1591174920,3794800,False
B,3,4,20.33,0.05,20.38,1588639019,3937871,False
C,1,0,6.11,0.05,6.16,477559243,3519003,False
C,1,1,6.08,0.05,6.13,475156862,3567197,False
C,1,2,6.11,0.05,6.17,477556846,4267135,False
C,1,3,6.11,0.05,6.16,477610151,3979508,False
C,1,4,6.11,0.04,6.15,477161466,3508747,False
C,3,0,18.68,0.05,18.73,1459353839,3715520,False
C,3,1,18.58,0.05,18.63,1451458483,3968639,False
C,3,2,19.12,0.05,19.17,1493439565,3912394,False
C,3,3,18.67,0.05,18.71,1458220139,3843174,False
C,3,4,18.79,0.05,18.84,1467680120,3991598,False
D,1,0,6.1,0.05,6.15,476930594,3543381,False
D,1,1,6.14,0.05,6.19,479731643,3829866,False
D,1,2,6.12,0.05,6.17,478013406,3686962,False
D,1,3,6.15,0.05,6.19,480176857,3559960,False
D,1,4,6.07,0.05,6.11,474134632,3556368,False
D,2,0,12.4,0.05,12.44,968379626,3845213,False
D,2,1,12.43,0.05,12.48,971376485,3706466,False
D,2,2,12.55,0.05,12.6,980279199,3733681,False
D,2,3,12.36,0.05,12.4,965344762,3705119,False
D,2,4,12.43,0.05,12.49,971278709,4281026,False
