condition,n_aggr_cores,trial,agg_bw_gbps,sf_evict_total,sf_evict_rate,sf_victim_retry,tor_drd_pref,pmu_raw
A,1,0,1.02,284803,56961.0,0,792303560,"{""unc_cha_core_snp.evict_one"": 209311, ""unc_cha_core_snp.evict_gtone"": 75492, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 792303560, ""unc_cha_tor_inserts.ia_drd"": 522062424}"
A,1,1,1.02,267674,53535.0,0,797014864,"{""unc_cha_core_snp.evict_one"": 189742, ""unc_cha_core_snp.evict_gtone"": 77932, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 797014864, ""unc_cha_tor_inserts.ia_drd"": 534769072}"
A,1,2,1.03,884630,176926.0,0,825382026,"{""unc_cha_core_snp.evict_one"": 541425, ""unc_cha_core_snp.evict_gtone"": 343205, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 825382026, ""unc_cha_tor_inserts.ia_drd"": 510131481}"
A,1,3,1.03,473661,94732.0,0,845481149,"{""unc_cha_core_snp.evict_one"": 369835, ""unc_cha_core_snp.evict_gtone"": 103826, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 845481149, ""unc_cha_tor_inserts.ia_drd"": 491247388}"
A,1,4,1.05,288377,57675.0,0,818708913,"{""unc_cha_core_snp.evict_one"": 214486, ""unc_cha_core_snp.evict_gtone"": 73891, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 818708913, ""unc_cha_tor_inserts.ia_drd"": 534351987}"
A,1,5,1.03,352754,70551.0,0,850233050,"{""unc_cha_core_snp.evict_one"": 254445, ""unc_cha_core_snp.evict_gtone"": 98309, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 850233050, ""unc_cha_tor_inserts.ia_drd"": 479491354}"
A,1,6,1.02,325661,65132.0,0,831746584,"{""unc_cha_core_snp.evict_one"": 225859, ""unc_cha_core_snp.evict_gtone"": 99802, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 831746584, ""unc_cha_tor_inserts.ia_drd"": 492198175}"
A,1,7,1.03,273216,54643.0,0,838023571,"{""unc_cha_core_snp.evict_one"": 193093, ""unc_cha_core_snp.evict_gtone"": 80123, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 838023571, ""unc_cha_tor_inserts.ia_drd"": 494938521}"
A,1,8,1.03,280778,56156.0,0,820251037,"{""unc_cha_core_snp.evict_one"": 197210, ""unc_cha_core_snp.evict_gtone"": 83568, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 820251037, ""unc_cha_tor_inserts.ia_drd"": 511686264}"
A,1,9,1.04,318346,63669.0,0,845882550,"{""unc_cha_core_snp.evict_one"": 234836, ""unc_cha_core_snp.evict_gtone"": 83510, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 845882550, ""unc_cha_tor_inserts.ia_drd"": 507518204}"
A,3,0,3.09,454889,90978.0,0,2512420595,"{""unc_cha_core_snp.evict_one"": 278946, ""unc_cha_core_snp.evict_gtone"": 175943, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 2512420595, ""unc_cha_tor_inserts.ia_drd"": 1329885283}"
A,3,1,3.2,492791,98558.0,0,2383310454,"{""unc_cha_core_snp.evict_one"": 310653, ""unc_cha_core_snp.evict_gtone"": 182138, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 2383310454, ""unc_cha_tor_inserts.ia_drd"": 1427333729}"
