condition,n_aggr_cores,wss_bytes,trial,cycles_per_load,total_loads,elapsed_sec
Q,0,393216,0,18.192,153911488,1.0
Q,0,393216,1,18.186,153960576,1.0
Q,0,393216,2,18.188,153948384,1.0
Q,0,393216,3,18.181,154006624,1.0
Q,0,393216,4,18.218,153696224,1.0
Q,0,393216,5,18.187,153957472,1.0
Q,0,393216,6,18.178,154032480,1.0
Q,0,393216,7,18.196,153876640,1.0
Q,0,393216,8,18.178,154029632,1.0
Q,0,393216,9,18.274,153222144,1.0
Q,0,393216,10,18.249,153429152,1.0
Q,0,393216,11,18.272,153238592,1.0
Q,0,393216,12,18.291,153078592,1.0
Q,0,393216,13,18.164,154148768,1.0
Q,0,393216,14,18.172,154086752,1.0
Q,0,393216,15,18.185,153974656,1.0
Q,0,393216,16,18.182,154001344,1.0
Q,0,393216,17,18.19,153934368,1.0
Q,0,393216,18,18.166,154137216,1.0
Q,0,393216,19,18.205,153804672,1.0
Q,0,393216,20,18.172,154084864,1.0
Q,0,393216,21,18.229,153599968,1.0
Q,0,393216,22,18.271,153249152,1.0
Q,0,393216,23,18.159,154188832,1.0
Q,0,393216,24,18.17,154096512,1.0
Q,0,393216,25,18.175,154054688,1.0
Q,0,393216,26,18.177,154040064,1.0
Q,0,393216,27,18.171,154094944,1.0
Q,0,393216,28,18.18,154018752,1.0
Q,0,393216,29,18.187,153958208,1.0
A,2,393216,0,18.217,153697664,1.0
A,2,393216,1,18.17,154102976,1.0
A,2,393216,2,18.199,153849632,1.0
A,2,393216,3,18.193,153906240,1.0
A,2,393216,4,18.228,153608096,1.0
A,2,393216,5,18.212,153740352,1.0
A,2,393216,6,18.195,153887584,1.0
A,2,393216,7,18.196,153880864,1.0
A,2,393216,8,18.206,153797120,1.0
A,2,393216,9,18.183,153992992,1.0
A,2,393216,10,18.196,153882240,1.0
A,2,393216,11,18.2,153844320,1.0
A,2,393216,12,18.183,153988160,1.0
A,2,393216,13,18.17,154102816,1.0
A,2,393216,14,18.175,154057152,1.0
A,2,393216,15,18.215,153715456,1.0
A,2,393216,16,18.17,154099168,1.0
A,2,393216,17,18.17,154100832,1.0
A,2,393216,18,18.179,154023712,1.0
A,2,393216,19,18.203,153821984,1.0
A,2,393216,20,18.193,153906112,1.0
A,2,393216,21,18.215,153720224,1.0
A,2,393216,22,18.185,153975616,1.0
A,2,393216,23,18.215,153720000,1.0
A,2,393216,24,18.191,153922688,1.0
A,2,393216,25,18.186,153959936,1.0
A,2,393216,26,18.193,153908384,1.0
A,2,393216,27,18.203,153822240,1.0
A,2,393216,28,18.185,153975968,1.0
A,2,393216,29,18.161,154178592,1.0
B,3,393216,0,18.237,153529824,1.0
B,3,393216,1,18.172,154086304,1.0
B,3,393216,2,18.195,153884192,1.0
B,3,393216,3,18.228,153610944,1.0
B,3,393216,4,18.202,153831488,1.0
B,3,393216,5,18.192,153909504,1.0
B,3,393216,6,18.205,153806400,1.0
B,3,393216,7,18.188,153947008,1.0
B,3,393216,8,18.211,153751200,1.0
B,3,393216,9,18.189,153937888,1.0
B,3,393216,10,18.189,153940256,1.0
B,3,393216,11,18.199,153850048,1.0
B,3,393216,12,18.2,153841824,1.0
B,3,393216,13,18.176,154049760,1.0
B,3,393216,14,18.184,153980000,1.0
B,3,393216,15,18.19,153932928,1.0
B,3,393216,16,18.181,154003936,1.0
B,3,393216,17,18.218,153693856,1.0
B,3,393216,18,18.191,153922560,1.0
B,3,393216,19,18.201,153839328,1.0
B,3,393216,20,18.195,153885952,1.0
B,3,393216,21,18.182,153999680,1.0
B,3,393216,22,18.197,153870432,1.0
B,3,393216,23,18.208,153780960,1.0
B,3,393216,24,18.166,154131328,1.0
B,3,393216,25,18.186,153963712,1.0
B,3,393216,26,18.17,154100640,1.0
B,3,393216,27,18.198,153860448,1.0
B,3,393216,28,18.186,153964576,1.0
B,3,393216,29,18.172,154083232,1.0
