condition,n_aggressor_cores,trial,victim_cycles_per_load,victim_total_loads,aggregate_bw_gbps,agg_reported_bw,sf_evictions_per_sec,sf_evict_total,llc_victims_per_sec,l3_misses_per_sec,l2_hits_per_sec,l2_hit_rate,mc_queue_occ,tor_drd_occ
Q,0,0,81.89,34191904,0.0,0.0,38024.3,408391,0.0,33242.8,504675.8,0.9382,8268670.2,28466194.7
Q,0,1,81.84,34212128,0.0,0.0,58237.3,624986,0.0,19716.1,503852.4,0.9623,13190271.6,45360034.1
Q,0,2,81.84,34213824,0.0,0.0,52089.3,559003,0.0,21827.0,504059.3,0.9585,9757003.2,31769832.3
Q,0,3,81.86,34203040,0.0,0.0,47706.7,511971,0.0,20120.1,505311.4,0.9617,9130428.1,30848006.8
Q,0,4,81.89,34191200,0.0,0.0,37446.7,401848,0.0,24025.3,503512.9,0.9545,7774876.2,26624146.3
Q,0,5,81.83,34215296,0.0,0.0,61416.3,659072,0.0,22506.8,504628.2,0.9573,15068452.9,49889019.0
Q,0,6,81.85,34209664,0.0,0.0,58227.7,624897,0.0,25327.9,504539.5,0.9522,14597071.3,48504090.1
Q,0,7,81.88,34196512,0.0,0.0,37441.0,401780,0.0,21270.8,503051.1,0.9594,7818960.6,26317907.9
Q,0,8,81.87,34200512,0.0,0.0,40773.0,437540,0.0,22731.6,502675.4,0.9567,7751260.4,27221627.6
Q,0,9,81.85,34207136,0.0,0.0,59698.4,640627,0.0,23409.9,502233.7,0.9555,13930804.4,47053614.8
Q,0,10,81.86,34206176,0.0,0.0,99382.3,1066517,0.0,22841.6,501456.0,0.9564,18431055.2,60504414.0
Q,0,11,81.85,34209952,0.0,0.0,53025.8,569029,0.0,21495.9,501338.0,0.9589,9628005.6,32504066.7
Q,0,12,81.84,34213312,0.0,0.0,45142.2,484427,0.0,21360.0,500352.2,0.9591,7844566.6,27522691.7
Q,0,13,81.87,34201472,0.0,0.0,87115.1,934854,0.0,22825.8,494428.6,0.9559,17471752.6,59225972.3
Q,0,14,81.87,34198560,0.0,0.0,67310.7,722323,0.0,21973.1,503548.4,0.9582,14926436.8,49964363.6
Q,0,15,81.91,34182144,0.0,0.0,29734.0,319081,0.0,23129.8,487730.4,0.9547,7210974.0,24631248.6
Q,0,16,81.85,34208416,0.0,0.0,62241.9,667950,0.0,24172.1,501455.1,0.954,15216687.9,51495776.2
Q,0,17,81.85,34210016,0.0,0.0,61904.7,664291,0.0,21809.7,500898.4,0.9583,14099707.2,46596981.8
Q,0,18,81.87,34200288,0.0,0.0,39768.9,426776,0.0,21598.9,503146.8,0.9588,7689828.4,27081806.9
Q,0,19,81.83,34218688,0.0,0.0,77629.4,833028,0.0,18263.0,503599.7,0.965,16131740.0,51847881.3
Q,0,20,81.9,34188768,0.0,0.0,37586.3,403428,0.0,13422.0,508451.6,0.9743,6292805.1,20177221.9
Q,0,21,81.78,34239200,0.0,0.0,55783.4,598672,0.0,12608.4,509732.2,0.9759,11218644.2,40109043.0
Q,0,22,81.8,34230304,0.0,0.0,25091.6,269299,0.0,14073.2,509810.2,0.9731,4787038.8,17047720.7
Q,0,23,81.79,34232608,0.0,0.0,15845.3,170053,0.0,12810.9,510468.5,0.9755,3537315.2,11636127.6
Q,0,24,81.84,34213152,0.0,0.0,16156.5,173399,0.0,13991.6,510183.0,0.9733,3681653.3,11920580.5
Q,0,25,81.8,34230592,0.0,0.0,18639.2,200055,0.0,14342.7,510340.5,0.9727,4015796.3,12976890.7
Q,0,26,81.76,34245568,0.0,0.0,20132.1,216072,0.0,14795.1,509875.5,0.9718,4225924.3,13868402.0
Q,0,27,81.81,34223904,0.0,0.0,18475.1,198284,0.0,13484.5,509433.5,0.9742,3987253.2,14013296.1
Q,0,28,81.84,34212096,0.0,0.0,15147.5,162574,0.0,14663.5,509740.8,0.972,3639534.9,11848353.8
Q,0,29,81.79,34234592,0.0,0.0,15120.0,162269,0.0,13485.6,507788.6,0.9741,3481638.5,11342539.7
A,2,0,246.0,11382112,0.0,2.13,50371.4,543658,0.0,7554325.7,549210.5,0.0678,3698415821.1,49941637512.6
A,2,1,245.72,11394848,0.0,2.13,53522.2,577517,0.0,7535639.3,541520.7,0.067,3699864414.3,49959093076.2
A,2,2,245.98,11382816,0.0,2.13,48440.6,522735,0.0,7527271.3,540718.0,0.067,3698781590.5,49946427872.2
A,2,3,244.27,11462624,0.0,2.13,46751.7,504494,0.0,7539931.6,542803.1,0.0672,3698598125.9,49946051431.6
A,2,4,246.86,11342528,0.0,2.13,47789.1,515792,0.0,7532843.9,550756.7,0.0681,3699212439.3,49951721759.1
A,2,5,246.21,11372416,0.0,2.13,49303.6,532109,0.0,7543481.3,550473.3,0.068,3699000682.4,49944946210.9
A,2,6,245.79,11391712,0.0,2.13,53651.7,578905,0.0,7547556.0,541988.0,0.067,3700615935.9,49970553016.1
A,2,7,247.03,11334464,0.0,2.13,47896.0,516844,0.0,7541474.9,544934.4,0.0674,3699938098.8,49957818806.8
A,2,8,246.89,11340928,0.0,2.13,47616.3,513813,0.0,7532709.0,543293.5,0.0673,3699010505.5,49952294287.0
A,2,9,248.69,11258848,0.0,2.13,45781.9,494399,0.0,7541762.7,547525.9,0.0677,3697208386.4,49921193322.4
A,2,10,245.57,11401888,0.0,2.13,53491.3,577306,0.0,7531464.9,549185.6,0.068,3699689552.4,49954850508.6
