condition,n_aggressor_cores,sf_bypass,wss_bytes,trial,victim_cycles_per_load,victim_total_loads,sf_evictions_per_sec,sf_evict_total,sf_victim_per_sec,llc_victims_m_per_sec,l3_misses_per_sec,l2_hit_rate,mc_queue_occ,aggregate_bw_gbps,pmu_sec
Q,0,0,393216,0,18.412,1520720416,61666.9,654354,0.0,41000.8,3344.0,1.0,19875289.4,0.0,10.61
Q,0,0,393216,1,18.404,1521441472,110951.5,1177298,0.0,80934.5,3153.8,1.0,27485282.9,0.0,10.61
Q,0,0,393216,2,18.404,1521440000,69303.8,735369,0.0,46340.8,3135.9,1.0,20314324.2,0.0,10.61
Q,0,0,393216,3,18.412,1520724160,90114.5,956207,0.0,63921.7,3274.1,1.0,21580131.4,0.0,10.61
Q,0,0,393216,4,18.433,1519055456,118374.8,1256058,0.0,83818.2,3360.7,1.0,28785053.2,0.0,10.61
Q,0,0,393216,5,18.413,1520700064,69276.3,735081,0.0,46615.7,3153.5,1.0,21503613.8,0.0,10.61
Q,0,0,393216,6,18.415,1520503456,67851.6,719972,0.0,39927.7,3545.0,1.0,19357252.9,0.0,10.61
Q,0,0,393216,7,18.419,1520163456,55294.6,586723,0.0,34992.4,2846.0,1.0,20146812.4,0.0,10.61
Q,0,0,393216,8,18.408,1521089600,63040.1,668911,0.0,35297.2,2756.6,1.0,18659564.9,0.0,10.61
Q,0,0,393216,9,18.405,1521285792,121970.7,1294200,0.0,93835.8,2995.5,1.0,28784477.8,0.0,10.61
Q,0,0,393216,10,18.409,1521014560,55664.8,590694,0.0,29377.4,2662.6,1.0,18847879.4,0.0,10.61
Q,0,0,393216,11,18.41,1520930272,109510.7,1162007,0.0,72176.0,2838.4,1.0,26742763.7,0.0,10.61
Q,0,0,393216,12,18.413,1520689728,72705.1,771459,0.0,54720.8,2737.3,1.0,24037699.0,0.0,10.61
Q,0,0,393216,13,18.406,1521272960,64094.8,680136,0.0,38997.0,2990.4,1.0,19801390.0,0.0,10.61
Q,0,0,393216,14,18.416,1520441664,123031.3,1305462,0.0,84394.8,2970.1,1.0,30483158.6,0.0,10.61
Q,0,0,393216,15,18.407,1521203136,56182.0,596135,0.0,29163.3,2940.7,1.0,20188210.3,0.0,10.61
Q,0,0,393216,16,18.404,1521394336,117826.4,1250233,0.0,80003.9,2887.2,1.0,27103697.1,0.0,10.61
