condition,n_aggressor_cores,pf_disabled,wss_bytes,trial,victim_cycles_per_load,victim_total_loads,sf_evictions_per_sec,sf_evict_total,sf_victim_per_sec,llc_victims_m_per_sec,l3_misses_per_sec,l2_hit_rate,mc_queue_occ,aggregate_bw_gbps,pmu_sec
Q,0,1,393216,0,18.298,1530174464,15385.7,163260,0.0,13479.0,1910.4,1.0,4085127.3,0.0,10.61
Q,0,1,393216,1,18.296,1530377408,5007.7,53139,0.0,6319.4,1131.9,1.0,2635422.5,0.0,10.61
Q,0,1,393216,2,18.291,1530816480,5710.5,60599,0.0,5732.8,992.9,1.0,2546908.5,0.0,10.61
Q,0,1,393216,3,18.282,1531607136,3328.6,35323,0.0,3459.0,1117.8,1.0,2381630.1,0.0,10.61
Q,0,1,393216,4,18.3,1530069696,89906.8,954073,0.0,68710.8,1889.0,1.0,11134257.2,0.0,10.61
Q,0,1,393216,5,18.286,1531258656,7994.5,84832,0.0,5267.3,1292.2,1.0,2742513.4,0.0,10.61
Q,0,1,393216,6,18.293,1530681024,6333.3,67207,0.0,6228.2,1289.3,1.0,2600370.9,0.0,10.61
Q,0,1,393216,7,18.283,1531517056,1773.0,18815,0.0,1786.8,1220.5,1.0,2175776.5,0.0,10.61
Q,0,1,393216,8,18.288,1531081280,3206.6,34026,0.0,3161.4,1220.4,1.0,2263825.6,0.0,10.61
Q,0,1,393216,9,18.287,1531181920,1109.8,11777,0.0,1338.7,996.0,1.0,1946404.4,0.0,10.61
Q,0,1,393216,10,18.289,1530939872,3956.6,41985,0.0,4611.2,1295.4,1.0,2532670.1,0.0,10.61
Q,0,1,393216,11,18.292,1530743584,4679.4,49654,0.0,6494.2,1227.9,1.0,2636662.9,0.0,10.61
Q,0,1,393216,12,18.29,1530932864,1126.5,11954,0.0,1400.9,974.2,1.0,2046522.2,0.0,10.61
Q,0,1,393216,13,18.287,1531129824,983.0,10431,0.0,1580.0,1043.9,1.0,1956182.1,0.0,10.61
Q,0,1,393216,14,18.292,1530759648,3183.4,33780,0.0,3797.9,1104.4,1.0,2383947.4,0.0,10.61
Q,0,1,393216,15,18.292,1530702176,5960.2,63248,0.0,11100.7,1244.4,1.0,2823478.9,0.0,10.61
