case,trial,node,cpu,wss_bytes,wss_mb,run_sec,cycles_per_load,tsc_hz,latency_ns,numa_huge_n2,numa_huge_n0,numa_maps_sample,stderr_summary
CXL_512MB_gate,0,2,0,536870912,512,10,435.355,1899983171,229.14,1,0,783182e00000 bind:2 file=/anon_hugepage\040(deleted) huge anon=256 dirty=256 N2=256 kernelpagesize_kB=2048,victim: cpu=0 node=2 wss=512 MB trials=1 run_sec=10.0 pf_disable=0 victim: TSC frequency estimate: 1899983171 Hz (1.90 GHz)
CXL_512MB_gate,1,2,0,536870912,512,10,400.545,1899980926,210.82,1,0,7c1d8ea00000 bind:2 file=/anon_hugepage\040(deleted) huge anon=256 dirty=256 N2=256 kernelpagesize_kB=2048,victim: cpu=0 node=2 wss=512 MB trials=1 run_sec=10.0 pf_disable=0 victim: TSC frequency estimate: 1899980926 Hz (1.90 GHz)
CXL_512MB_gate,2,2,0,536870912,512,10,357.995,1899981053,188.42,1,0,7d7d20000000 bind:2 file=/anon_hugepage\040(deleted) huge anon=256 dirty=256 N2=256 kernelpagesize_kB=2048,victim: cpu=0 node=2 wss=512 MB trials=1 run_sec=10.0 pf_disable=0 victim: TSC frequency estimate: 1899981053 Hz (1.90 GHz)
CXL_512MB_gate,3,2,0,536870912,512,10,340.812,1899984166,179.38,1,0,7c5e39600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=256 dirty=256 N2=256 kernelpagesize_kB=2048,victim: cpu=0 node=2 wss=512 MB trials=1 run_sec=10.0 pf_disable=0 victim: TSC frequency estimate: 1899984166 Hz (1.90 GHz)
CXL_512MB_gate,4,2,0,536870912,512,10,328.449,1899982164,172.87,1,0,77986fe00000 bind:2 file=/anon_hugepage\040(deleted) huge anon=256 dirty=256 N2=256 kernelpagesize_kB=2048,victim: cpu=0 node=2 wss=512 MB trials=1 run_sec=10.0 pf_disable=0 victim: TSC frequency estimate: 1899982164 Hz (1.90 GHz)
CXL_512MB_gate,5,2,0,536870912,512,10,313.473,1899986188,164.99,1,0,7978e3e00000 bind:2 file=/anon_hugepage\040(deleted) huge anon=256 dirty=256 N2=256 kernelpagesize_kB=2048,victim: cpu=0 node=2 wss=512 MB trials=1 run_sec=10.0 pf_disable=0 victim: TSC frequency estimate: 1899986188 Hz (1.90 GHz)
CXL_512MB_gate,6,2,0,536870912,512,10,308.23,1899984275,162.23,1,0,71e0bf400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=256 dirty=256 N2=256 kernelpagesize_kB=2048,victim: cpu=0 node=2 wss=512 MB trials=1 run_sec=10.0 pf_disable=0 victim: TSC frequency estimate: 1899984275 Hz (1.90 GHz)
CXL_512MB_gate,7,2,0,536870912,512,10,307.913,1899982413,162.06,1,0,785c23600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=256 dirty=256 N2=256 kernelpagesize_kB=2048,victim: cpu=0 node=2 wss=512 MB trials=1 run_sec=10.0 pf_disable=0 victim: TSC frequency estimate: 1899982413 Hz (1.90 GHz)
CXL_512MB_gate,8,2,0,536870912,512,10,308.643,1899984473,162.45,1,0,7a86c8600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=256 dirty=256 N2=256 kernelpagesize_kB=2048,victim: cpu=0 node=2 wss=512 MB trials=1 run_sec=10.0 pf_disable=0 victim: TSC frequency estimate: 1899984473 Hz (1.90 GHz)
CXL_512MB_gate,9,2,0,536870912,512,10,307.73,1899981000,161.96,1,0,76da6d400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=256 dirty=256 N2=256 kernelpagesize_kB=2048,victim: cpu=0 node=2 wss=512 MB trials=1 run_sec=10.0 pf_disable=0 victim: TSC frequency estimate: 1899981000 Hz (1.90 GHz)
CXL_64MB_record,0,2,0,67108864,64,10,77.261,1899977136,40.66,1,0,7f2ba9800000 bind:2 file=/anon_hugepage\040(deleted) huge anon=32 dirty=32 N2=32 kernelpagesize_kB=2048,victim: cpu=0 node=2 wss=64 MB trials=1 run_sec=10.0 pf_disable=0 victim: TSC frequency estimate: 1899977136 Hz (1.90 GHz)
