case,trial,wss_mb,node,prefetcher_state,latency_ns,cycles_per_load,tsc_hz,numa_huge_n2,numa_huge_n0,numa_maps_sample,stderr_summary
CXL_512MB_pf_on,0,512,2,on,213.66,405.942,1899984247,-1,-1,PERMISSION_DENIED_CAP_SYS_RAWIO_PROCESS,victim: cpu=0 node=2 wss=512 MB trials=1 run_sec=10.0 pf_disable=0 victim: TSC frequency estimate: 1899984247 Hz (1.90 GHz)
CXL_512MB_pf_on,1,512,2,on,186.71,354.75,1899984893,-1,-1,PERMISSION_DENIED_CAP_SYS_RAWIO_PROCESS,victim: cpu=0 node=2 wss=512 MB trials=1 run_sec=10.0 pf_disable=0 victim: TSC frequency estimate: 1899984893 Hz (1.90 GHz)
CXL_512MB_pf_on,2,512,2,on,169.34,321.742,1899982941,-1,-1,PERMISSION_DENIED_CAP_SYS_RAWIO_PROCESS,victim: cpu=0 node=2 wss=512 MB trials=1 run_sec=10.0 pf_disable=0 victim: TSC frequency estimate: 1899982941 Hz (1.90 GHz)
CXL_512MB_pf_on,3,512,2,on,162.09,307.963,1899981586,-1,-1,PERMISSION_DENIED_CAP_SYS_RAWIO_PROCESS,victim: cpu=0 node=2 wss=512 MB trials=1 run_sec=10.0 pf_disable=0 victim: TSC frequency estimate: 1899981586 Hz (1.90 GHz)
CXL_512MB_pf_on,4,512,2,on,160.91,305.718,1899987579,-1,-1,PERMISSION_DENIED_CAP_SYS_RAWIO_PROCESS,victim: cpu=0 node=2 wss=512 MB trials=1 run_sec=10.0 pf_disable=0 victim: TSC frequency estimate: 1899987579 Hz (1.90 GHz)
CXL_512MB_pf_on,5,512,2,on,160.23,304.441,1899984099,-1,-1,PERMISSION_DENIED_CAP_SYS_RAWIO_PROCESS,victim: cpu=0 node=2 wss=512 MB trials=1 run_sec=10.0 pf_disable=0 victim: TSC frequency estimate: 1899984099 Hz (1.90 GHz)
CXL_512MB_pf_on,6,512,2,on,159.64,303.312,1899984701,-1,-1,PERMISSION_DENIED_CAP_SYS_RAWIO_PROCESS,victim: cpu=0 node=2 wss=512 MB trials=1 run_sec=10.0 pf_disable=0 victim: TSC frequency estimate: 1899984701 Hz (1.90 GHz)
CXL_512MB_pf_on,7,512,2,on,166.35,316.058,1899984905,-1,-1,PERMISSION_DENIED_CAP_SYS_RAWIO_PROCESS,victim: cpu=0 node=2 wss=512 MB trials=1 run_sec=10.0 pf_disable=0 victim: TSC frequency estimate: 1899984905 Hz (1.90 GHz)
CXL_512MB_pf_on,8,512,2,on,165.24,313.945,1899982761,-1,-1,PERMISSION_DENIED_CAP_SYS_RAWIO_PROCESS,victim: cpu=0 node=2 wss=512 MB trials=1 run_sec=10.0 pf_disable=0 victim: TSC frequency estimate: 1899982761 Hz (1.90 GHz)
CXL_512MB_pf_on,9,512,2,on,161.86,307.53,1899981892,-1,-1,PERMISSION_DENIED_CAP_SYS_RAWIO_PROCESS,victim: cpu=0 node=2 wss=512 MB trials=1 run_sec=10.0 pf_disable=0 victim: TSC frequency estimate: 1899981892 Hz (1.90 GHz)
