cell,trial,cycles_per_load,tsc_hz,latency_ns,agg_bw_gbps_calibrated
AL-VL_REPRO,0,77.24,1899984419,40.65296495465629,14.65
AL-VL_REPRO,1,77.127,1899985810,40.59346106379605,14.65
AL-VL_REPRO,2,77.188,1899982390,40.62563969342895,14.65
AL-VL_REPRO,3,77.26,1899983735,40.663505995750015,14.65
AL-VL_REPRO,4,77.299,1899985775,40.68398880512672,14.65
AL-VL_REPRO,5,77.165,1899987177,40.61343199265182,14.65
AL-VL_REPRO,6,77.209,1899984101,40.63665583273215,14.65
AL-VL_REPRO,7,77.165,1899985285,40.6134724353931,14.65
AL-VL_REPRO,8,77.133,1899984766,40.596641289070206,14.65
AL-VL_REPRO,9,77.172,1899984801,40.61716702122187,14.65
