cell,trial,victim_node,aggressor_node,victim_wss_mb,llc_capacity_mb,aggressor_region_gb_per_core,aggressor_cores,agg_bw_gbps,agg_progress_bw_gbps_untrusted,cycles_per_load,tsc_hz,latency_ns,l2_hit,l3_hit,l3_miss,l3_miss_fraction,longest_lat_cache_miss,sf_evict,cha_cxl_drd,cxl_flits_valid,imc_cas_rd,victim_numa_n0,victim_numa_n2,aggressor_numa_n0,aggressor_numa_n2,victim_numa_sample,aggressor_numa_sample
AC-VC,0,2,2,32,60,1,2,17.12,1.95,334.366,1899976039,175.98,1910211,22772107,4831221,0.175023,27121037,6954,0,3936398310,476,0,1,0,2,727ada800000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VC,1,2,2,32,60,1,2,17.12,1.95,350.766,1899981897,184.62,1936631,20311148,4810525,0.191489,27532460,4962,0,3938531071,444,0,1,0,2,7f95b5800000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VC,2,2,2,32,60,1,2,17.12,1.95,356.894,1899979409,187.84,1920518,19502217,4906005,0.200998,27638634,4709,0,3937003174,444,0,1,0,2,752076400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VC,3,2,2,32,60,1,2,17.12,1.95,354.1,1899986282,186.37,1915501,19969898,4906535,0.197236,27593125,4655,0,3937280599,440,0,1,0,2,734dee000000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VC,4,2,2,32,60,1,2,17.12,1.95,360.416,1899983296,189.69,1918369,18953907,4816219,0.202616,27694773,4618,0,3936451992,440,0,1,0,2,73a2ab800000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VC,5,2,2,32,60,1,2,17.12,1.95,349.725,1899985595,184.07,1931891,20284895,4804422,0.191493,27545286,4876,0,3938120486,443,0,1,0,2,786e5fa00000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VC,6,2,2,32,60,1,2,17.12,1.96,363.08,1899979343,191.1,1936271,18616276,4909166,0.208675,27776716,4472,0,3937875670,440,0,1,0,2,7dd947600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VC,7,2,2,32,60,1,2,17.12,1.95,353.357,1899982782,185.98,1972878,20206114,4884768,0.194683,27574275,5945,0,3936719528,449,0,1,0,2,7adca5400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VC,8,2,2,32,60,1,2,17.12,1.95,372.566,1899983255,196.09,1940397,17763719,4956585,0.218157,27909012,6633,0,3938155137,460,0,1,0,2,7b0127c00000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VC,9,2,2,32,60,1,2,17.12,1.95,371.635,1899954431,195.6,2010020,17686243,4954874,0.218844,27949658,10088,0,3936887145,504,0,1,0,2,7cfcfac00000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VC,10,2,2,32,60,1,2,17.12,1.95,349.587,1899981634,183.99,1984396,20733238,4867822,0.190141,27481314,4933,0,3936770218,447,0,1,0,2,735833e00000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VC,11,2,2,32,60,1,2,17.12,1.96,349.358,1899979249,183.87,1884473,20617586,4835288,0.18997,27492004,4870,0,3937067499,440,0,1,0,2,710249800000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VC,12,2,2,32,60,1,2,17.12,1.95,362.931,1899981242,191.02,1963938,18786371,4843753,0.204982,27752723,4633,0,3936067262,440,0,1,0,2,719ce9800000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VC,13,2,2,32,60,1,2,17.12,1.95,359.137,1899975675,189.02,1905298,19147852,4819769,0.201095,27688816,4562,0,3936732491,442,0,1,0,2,7dcaa7000000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VC,14,2,2,32,60,1,2,17.12,1.95,367.401,1899980331,193.37,1953014,18429418,4833667,0.207783,27828046,5134,0,3935847048,448,0,1,0,2,7ad357800000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VC,15,2,2,32,60,1,2,17.12,1.95,356.441,1899980769,187.6,1979626,19723263,4832844,0.196808,27630948,4542,0,3935958529,439,0,1,0,2,741f05e00000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
