cell,trial,cycles_per_load,tsc_hz,latency_ns
QL_REPRO,0,76.969,1899983319,40.51035565960145
QL_REPRO,1,76.869,1899985464,40.45767794358241
QL_REPRO,2,76.882,1899979307,40.46465122896205
QL_REPRO,3,76.911,1899983736,40.47982019147137
QL_REPRO,4,76.917,1899982025,40.48301456957205
QL_REPRO,5,76.968,1899981962,40.50985827201237
QL_REPRO,6,77.018,1899984733,40.53611519203718
QL_REPRO,7,77.026,1899983061,40.540361427990646
QL_REPRO,8,77.038,1899985362,40.54662816923323
QL_REPRO,9,76.92,1899983180,40.48456892128909
