cell,trial,platform,victim_node,aggressor_node,victim_wss_mb,llc_capacity_mb,aggressor_cores,aggressor_region_gb_per_core,agg_bw_gbps_calibrated,cycles_per_load,latency_ns,l2_hit,l3_hit,l3_miss,l3_miss_fraction,longest_lat_cache_miss,cxl_flits_valid,imc_cas_rd,victim_numa_n0,victim_numa_n2,aggressor_numa_n0,aggressor_numa_n2,victim_numa_sample,aggressor_numa_sample,agg_progress_bw_untrusted
QL,0,Xeon Platinum 8592+,0,-1,170,320,0,5,0,84.179,44.31,1649083,213932866,69752,0.000326,218982,11372,440,1,0,0,0,713b01600000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,,0
QL,1,Xeon Platinum 8592+,0,-1,170,320,0,5,0,81.774,43.04,1677659,214029310,36365,0.00017,141717,6795,404,1,0,0,0,7b21b9a00000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,,0
QL,2,Xeon Platinum 8592+,0,-1,170,320,0,5,0,81.783,43.04,1659654,213880396,35100,0.000164,139611,4399,404,1,0,0,0,7c317a200000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,,0
QL,3,Xeon Platinum 8592+,0,-1,170,320,0,5,0,81.827,43.07,1667827,213675258,32738,0.000153,132603,3033,400,1,0,0,0,73ab03000000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,,0
QL,4,Xeon Platinum 8592+,0,-1,170,320,0,5,0,81.774,43.04,1677177,213747521,32554,0.000152,122191,2555,400,1,0,0,0,77ae62400000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,,0
QL,5,Xeon Platinum 8592+,0,-1,170,320,0,5,0,81.751,43.03,1672924,213757955,35693,0.000167,130177,3637,400,1,0,0,0,77b705a00000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,,0
QL,6,Xeon Platinum 8592+,0,-1,170,320,0,5,0,81.741,43.02,1676548,214020860,33710,0.000157,130757,3656,401,1,0,0,0,7eec3d000000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,,0
QL,7,Xeon Platinum 8592+,0,-1,170,320,0,5,0,81.727,43.01,1677748,213879392,33624,0.000157,122526,3274,400,1,0,0,0,711d81c00000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,,0
QL,8,Xeon Platinum 8592+,0,-1,170,320,0,5,0,81.74,43.02,1677640,214065831,28339,0.000132,114788,2990,400,1,0,0,0,7ec237200000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,,0
QL,9,Xeon Platinum 8592+,0,-1,170,320,0,5,0,81.71,43.01,1668669,213923521,36785,0.000172,124878,4341,401,1,0,0,0,7f6429e00000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,,0
QL,10,Xeon Platinum 8592+,0,-1,170,320,0,5,0,81.749,43.03,1664797,213947953,33538,0.000157,115949,3231,404,1,0,0,0,747051c00000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,,0
QL,11,Xeon Platinum 8592+,0,-1,170,320,0,5,0,81.723,43.01,1670403,214000752,33140,0.000155,111249,2646,400,1,0,0,0,7649d8c00000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,,0
QL,12,Xeon Platinum 8592+,0,-1,170,320,0,5,0,81.706,43.0,1670177,213971549,35826,0.000167,127053,2484,404,1,0,0,0,78fae8e00000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,,0
QL,13,Xeon Platinum 8592+,0,-1,170,320,0,5,0,81.704,43.0,1671001,214048652,31117,0.000145,111416,3497,400,1,0,0,0,74fc65e00000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,,0
QL,14,Xeon Platinum 8592+,0,-1,170,320,0,5,0,81.711,43.01,1689235,214037572,36677,0.000171,127281,2538,400,1,0,0,0,79dd44800000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,,0
QL,15,Xeon Platinum 8592+,0,-1,170,320,0,5,0,81.701,43.0,1671055,213956318,35264,0.000165,121866,3950,404,1,0,0,0,7ee883800000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,,0
QL,16,Xeon Platinum 8592+,0,-1,170,320,0,5,0,81.718,43.01,1672991,213995953,32044,0.00015,119223,3196,400,1,0,0,0,7009b5e00000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,,0
QL,17,Xeon Platinum 8592+,0,-1,170,320,0,5,0,81.697,43.0,1680220,214171559,21568,0.000101,106650,2635,400,1,0,0,0,78f6a2e00000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,,0
QL,18,Xeon Platinum 8592+,0,-1,170,320,0,5,0,81.682,42.99,1656664,213905903,30504,0.000143,115301,3227,400,1,0,0,0,7afc0cc00000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,,0
QL,19,Xeon Platinum 8592+,0,-1,170,320,0,5,0,81.724,43.01,1664150,213942903,34398,0.000161,119468,3315,404,1,0,0,0,7bcffe800000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,,0
QL,20,Xeon Platinum 8592+,0,-1,170,320,0,5,0,81.722,43.01,1681136,213905019,32383,0.000151,129301,2535,400,1,0,0,0,7e97baa00000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,,0
