condition,trial,platform,victim_wss_bytes_requested,victim_wss_note,aggressor_cores,aggressor_region_gb_per_core,cycles_per_load,latency_ns,l2_hit,l3_hit,l3_miss,l2_hit_fraction
Q_L2,0,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,0,0,19.713,10.38,923495195,36087558,18008,0.962374
Q_L2,1,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,0,0,19.65,10.34,927104005,35488910,10578,0.963121
Q_L2,2,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,0,0,19.688,10.36,925253102,35635286,9215,0.962905
Q_L2,3,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,0,0,19.69,10.36,925185139,35532560,11564,0.963003
Q_L2,4,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,0,0,19.658,10.35,926782680,35471588,10529,0.963126
Q_L2,5,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,0,0,19.649,10.34,927110583,35474496,9547,0.963137
Q_L2,6,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,0,0,19.673,10.35,925701246,35922366,19371,0.962625
Q_L2,7,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,0,0,19.666,10.35,925999513,35835576,9600,0.962733
Q_L2,8,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,0,0,19.665,10.35,926401963,35685385,9487,0.962899
Q_L2,9,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,0,0,19.654,10.34,926957049,35479998,8733,0.963127
Q_L2,10,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,0,0,19.71,10.37,923927892,35914795,11174,0.962571
Q_L2,11,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,0,0,19.716,10.38,923772900,35686335,12360,0.962793
Q_L2,12,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,0,0,19.694,10.37,924898700,35683522,7965,0.962844
Q_L2,13,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,0,0,19.731,10.38,923110670,35817199,11446,0.962637
Q_L2,14,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,0,0,19.705,10.37,924431352,35621607,9434,0.962887
Q_L2,15,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,0,0,19.694,10.37,925148961,35453537,7565,0.963085
Q_L2,16,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,0,0,19.7,10.37,924591613,35561954,9082,0.962953
Q_L2,17,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,0,0,19.741,10.39,922184455,35941509,12879,0.962475
Q_L2,18,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,0,0,19.721,10.38,923350273,35812517,9511,0.962653
Q_L2,19,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,0,0,19.685,10.36,925567714,35346474,9013,0.963207
