condition,trial,platform,victim_wss_mb,llc_capacity_mb,aggressor_cores,aggressor_region_gb_per_core,cycles_per_load,latency_ns,tsc_hz,l2_hit,l3_hit,l3_miss,l3_miss_fraction,offcore_outstanding_data_rd,imc_cas_read,imc_read_bw_gbps,rpq_cycles,agg_progress_bw_untrusted,victim_numa_n0,victim_numa_n2,aggressor_numa_n0,aggressor_numa_n2,victim_numa_sample,aggressor_numa_sample
B,0,Xeon Platinum 8592+,170,320,4,5,215.461,113.4,1899983404,1911814,12662265,69676272,0.846217,51345758265,499320,0.003,43210059124,17.48,1,0,0,0,73b794e00000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,ERR:PermissionError
B,1,Xeon Platinum 8592+,170,320,4,5,218.698,115.11,1899979518,1945779,10782231,70349865,0.867103,16491401562,498584,0.003,43218102975,17.46,1,0,0,0,742d46400000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,ERR:PermissionError
B,2,Xeon Platinum 8592+,170,320,4,5,220.344,115.97,1899981019,1943027,9879283,70681194,0.877368,16511736037,498431,0.003,43201473645,17.49,1,0,0,0,74a502e00000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,ERR:PermissionError
B,3,Xeon Platinum 8592+,170,320,4,5,222.49,117.1,1899982074,1896703,8681264,71036072,0.891099,16465922078,498758,0.003,43201561824,17.44,1,0,0,0,709f8e800000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,ERR:PermissionError
B,4,Xeon Platinum 8592+,170,320,4,5,218.862,115.19,1899981572,1927309,10487307,70406729,0.870357,16408726425,498449,0.003,43202449046,17.46,1,0,0,0,76a09d400000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,ERR:PermissionError
B,5,Xeon Platinum 8592+,170,320,4,5,220.262,115.93,1899983018,1948221,9827265,70658941,0.877901,16456006623,498544,0.003,43201110074,17.48,1,0,0,0,76c91b400000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,ERR:PermissionError
B,6,Xeon Platinum 8592+,170,320,4,5,222.442,117.08,1899982425,1928061,8912659,70983568,0.888447,16475552227,498632,0.003,43200716687,17.47,1,0,0,0,74bfbd400000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,ERR:PermissionError
B,7,Xeon Platinum 8592+,170,320,4,5,223.26,117.51,1899984215,1921071,8219310,71179181,0.89648,16455721960,498934,0.003,43203857616,17.46,1,0,0,0,78c6b0000000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,ERR:PermissionError
B,8,Xeon Platinum 8592+,170,320,4,5,222.707,117.21,1899988189,1947527,8710852,70996483,0.890715,16430699156,498462,0.003,43201723432,17.48,1,0,0,0,7efff3800000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,ERR:PermissionError
B,9,Xeon Platinum 8592+,170,320,4,5,221.224,116.43,1899986878,1978771,9422768,70807561,0.882554,16451618833,498545,0.003,43206990280,17.51,1,0,0,0,7759e0a00000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,ERR:PermissionError
B,10,Xeon Platinum 8592+,170,320,4,5,220.396,116.0,1899978640,1960680,9939101,70635470,0.876647,16473230339,498602,0.003,43199945825,17.46,1,0,0,0,7665e1e00000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,ERR:PermissionError
B,11,Xeon Platinum 8592+,170,320,4,5,221.007,116.32,1899984593,1912705,9362258,70756403,0.883145,16394350002,498348,0.003,43200272753,17.42,1,0,0,0,73069a200000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,ERR:PermissionError
B,12,Xeon Platinum 8592+,170,320,4,5,219.799,115.68,1899987507,1928431,10090999,70511287,0.874805,16372384070,498614,0.003,43218556813,17.45,1,0,0,0,72ef44e00000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,ERR:PermissionError
B,13,Xeon Platinum 8592+,170,320,4,5,223.106,117.43,1899986136,1952736,8514632,71078419,0.893023,16432868368,498842,0.003,43205286079,17.46,1,0,0,0,7d919a800000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,ERR:PermissionError
B,14,Xeon Platinum 8592+,170,320,4,5,220.284,115.94,1899986538,1946401,9947612,70635744,0.876555,16440695058,498379,0.003,43213581263,17.45,1,0,0,0,7b0102a00000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,ERR:PermissionError
B,15,Xeon Platinum 8592+,170,320,4,5,222.967,117.35,1899986404,1910256,8360078,71168517,0.89488,16481976011,497923,0.003,43203005087,17.46,1,0,0,0,7b2747600000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,ERR:PermissionError
B,16,Xeon Platinum 8592+,170,320,4,5,220.612,116.11,1899985310,1944866,9719096,70719927,0.879174,16513538233,498118,0.003,43200673305,17.4,1,0,0,0,7179f3600000 bind:0 file=/anon_hugepage\040(deleted) huge anon=85 dirty=85 N0=85 kernelpagesize_kB=2048,ERR:PermissionError
