condition,trial,aggressor_cores,cycles_per_load,latency_ns,l2_hit,l3_hit,l3_miss,l2_hit_fraction,sf_evict_total,sf_evict_per_sec,sf_victim_retry,pf_disabled_count,pf_summary
Q,0,0,19.777,10.41,919987454,37372500,15848,0.960947,668,66.8,0,,
Q,1,0,19.735,10.39,922587584,36834468,8187,0.961599,113,11.3,0,,
Q,2,0,19.77,10.41,920452791,37283744,6388,0.961065,168,16.8,0,,
Q,3,0,19.741,10.39,922047565,36910774,4849,0.961505,60,6.0,0,,
Q,4,0,19.755,10.4,921279961,37092401,6172,0.96129,35,3.5,0,,
Q,5,0,19.738,10.39,922376073,36868966,6826,0.961558,54,5.4,0,,
Q,6,0,19.767,10.4,920511650,37155369,6717,0.961195,55,5.5,0,,
Q,7,0,19.781,10.41,920515769,36766362,4913,0.961588,48,4.8,0,,
Q,8,0,19.773,10.41,920451747,37019612,6761,0.961329,36,3.6,0,,
Q,9,0,19.742,10.39,921761873,36794993,4893,0.961609,27,2.7,0,,
Q,10,0,19.758,10.4,921166791,36989397,6741,0.961388,82,8.2,0,,
Q,11,0,19.764,10.4,921220115,36783110,5193,0.961599,30,3.0,0,,
Q,12,0,19.787,10.41,919649152,36560159,4874,0.961761,30,3.0,0,,
Q,13,0,19.818,10.43,918230363,37118061,5990,0.961141,29,2.9,0,,
Q,14,0,19.816,10.43,918274620,37173024,5375,0.961088,18,1.8,0,,
Q,15,0,19.783,10.41,920084047,36931798,8375,0.961401,143,14.3,0,,
Q,16,0,19.773,10.41,920412173,37094526,5512,0.961254,40,4.0,0,,
Q,17,0,19.735,10.39,922737988,36737160,4443,0.961707,35,3.5,0,,
Q,18,0,19.771,10.41,920415058,37171314,6880,0.961175,196,19.6,0,,
Q,19,0,19.76,10.4,921107869,36947211,9896,0.961425,56,5.6,0,,
Q,20,0,19.771,10.41,920727993,36965448,8496,0.961393,18,1.8,0,,
Q,21,0,19.82,10.43,918071990,37326794,10459,0.96092,172,17.2,0,,
Q,22,0,19.852,10.45,916120031,37356766,8264,0.960812,77,7.7,0,,
Q,23,0,19.809,10.43,918432260,36839359,9161,0.961427,58,5.8,0,,
Q,24,0,19.814,10.43,918432603,37087480,10817,0.961175,37,3.7,0,,
Q,25,0,19.808,10.43,918676792,37263977,10493,0.961008,152,15.2,0,,
Q,26,0,19.77,10.41,921498600,36340387,8377,0.962052,114,11.4,0,,
Q,27,0,19.736,10.39,923267390,36172671,7612,0.962291,27,2.7,0,,
Q,28,0,19.735,10.39,923312255,35987066,9283,0.962477,34,3.4,0,,
Q,29,0,19.737,10.39,923057803,36131774,11596,0.962319,63,6.3,0,,
R60,0,60,18.629,9.8,995994581,19140627,4300,0.981141,2092232,209223.2,0,60,forced_turnover: cpu=1 node=0 region=4096 KB n_qwords=524288 seed=1000 pf_disabled=1 batch=64 | forced_turnover: cpu=2 node=0 region=4096 KB n_qwords=524288 seed=1001 pf_disabled=1 batch=64 | forced_turnover: cpu=3 node=0 region=4096 KB n_qwords=524288 seed=1002 pf_disabled=1 batch=64
R60,1,60,18.593,9.79,998130940,18866433,4280,0.981445,2086625,208662.5,0,60,forced_turnover: cpu=1 node=0 region=4096 KB n_qwords=524288 seed=1000 pf_disabled=1 batch=64 | forced_turnover: cpu=2 node=0 region=4096 KB n_qwords=524288 seed=1001 pf_disabled=1 batch=64 | forced_turnover: cpu=3 node=0 region=4096 KB n_qwords=524288 seed=1002 pf_disabled=1 batch=64
R60,2,60,18.576,9.78,998603209,19113527,4232,0.981215,2084615,208461.5,0,60,forced_turnover: cpu=1 node=0 region=4096 KB n_qwords=524288 seed=1000 pf_disabled=1 batch=64 | forced_turnover: cpu=2 node=0 region=4096 KB n_qwords=524288 seed=1001 pf_disabled=1 batch=64 | forced_turnover: cpu=3 node=0 region=4096 KB n_qwords=524288 seed=1002 pf_disabled=1 batch=64
