phase,knob,knob_value,condition,n_aggr_cores,trial,cycles_per_load,quiescent_cycles,tax_pct,aggregate_bw_gbps,victim_slowdown_pct,page_kb,readonly,notes
1,prefetcher,wb_pf_on,A,8,0,91.556,80.456,13.797,23.51,13.797,,True,wb_pf_on
1,prefetcher,wb_pf_on,A,8,1,90.776,80.456,12.827,23.51,12.827,,True,wb_pf_on
1,prefetcher,wb_pf_on,A,8,2,90.262,80.456,12.188,23.51,12.188,,True,wb_pf_on
1,prefetcher,wb_pf_on,A,8,3,90.558,80.456,12.556,23.51,12.556,,True,wb_pf_on
1,prefetcher,wb_pf_on,A,8,4,90.607,80.456,12.617,23.51,12.617,,True,wb_pf_on
1,prefetcher,wb_pf_on,A,8,5,90.762,80.456,12.81,23.51,12.81,,True,wb_pf_on
1,prefetcher,wb_pf_on,A,8,6,90.52,80.456,12.509,23.51,12.509,,True,wb_pf_on
1,prefetcher,wb_pf_on,A,8,7,90.195,80.456,12.105,23.51,12.105,,True,wb_pf_on
1,prefetcher,wb_pf_on,A,8,8,90.166,80.456,12.069,23.51,12.069,,True,wb_pf_on
1,prefetcher,wb_pf_on,A,8,9,92.161,80.456,14.549,23.51,14.549,,True,wb_pf_on
1,prefetcher,wb_pf_on,A,8,10,91.762,80.456,14.053,23.51,14.053,,True,wb_pf_on
1,prefetcher,wb_pf_on,A,8,11,90.867,80.456,12.94,23.51,12.94,,True,wb_pf_on
1,prefetcher,wb_pf_on,A,8,12,90.701,80.456,12.734,23.51,12.734,,True,wb_pf_on
1,prefetcher,wb_pf_on,A,8,13,90.183,80.456,12.09,23.51,12.09,,True,wb_pf_on
1,prefetcher,wb_pf_on,A,8,14,90.967,80.456,13.065,23.51,13.065,,True,wb_pf_on
1,prefetcher,wb_pf_on,A,8,15,91.377,80.456,13.574,23.51,13.574,,True,wb_pf_on
1,prefetcher,wb_pf_on,A,8,16,90.559,80.456,12.558,23.51,12.558,,True,wb_pf_on
1,prefetcher,wb_pf_on,A,8,17,90.435,80.456,12.403,23.51,12.403,,True,wb_pf_on
1,prefetcher,wb_pf_on,A,8,18,90.181,80.456,12.088,23.51,12.088,,True,wb_pf_on
1,prefetcher,wb_pf_on,A,8,19,90.953,80.456,13.047,23.51,13.047,,True,wb_pf_on
1,prefetcher,wb_pf_on,A,8,20,90.619,80.456,12.632,23.51,12.632,,True,wb_pf_on
1,prefetcher,wb_pf_on,A,8,21,90.259,80.456,12.185,23.51,12.185,,True,wb_pf_on
1,prefetcher,wb_pf_on,A,8,22,90.175,80.456,12.08,23.51,12.08,,True,wb_pf_on
1,prefetcher,wb_pf_on,A,8,23,90.285,80.456,12.217,23.51,12.217,,True,wb_pf_on
1,prefetcher,wb_pf_on,A,8,24,91.343,80.456,13.532,23.51,13.532,,True,wb_pf_on
1,prefetcher,wb_pf_on,A,8,25,91.363,80.456,13.557,23.51,13.557,,True,wb_pf_on
1,prefetcher,wb_pf_on,A,8,26,90.985,80.456,13.087,23.51,13.087,,True,wb_pf_on
1,prefetcher,wb_pf_on,A,8,27,90.699,80.456,12.732,23.51,12.732,,True,wb_pf_on
1,prefetcher,wb_pf_on,A,8,28,90.517,80.456,12.505,23.51,12.505,,True,wb_pf_on
1,prefetcher,wb_pf_on,A,8,29,90.889,80.456,12.968,23.51,12.968,,True,wb_pf_on
1,prefetcher,wb_pf_off,B,8,0,99.1,80.456,23.173,23.51,23.173,,False,wb_pf_off
1,prefetcher,wb_pf_off,B,8,1,93.767,80.456,16.545,23.51,16.545,,False,wb_pf_off
1,prefetcher,wb_pf_off,B,8,2,94.709,80.456,17.716,23.51,17.716,,False,wb_pf_off
1,prefetcher,wb_pf_off,B,8,3,91.387,80.456,13.587,23.51,13.587,,False,wb_pf_off
1,prefetcher,wb_pf_off,B,8,4,89.712,80.456,11.505,23.51,11.505,,False,wb_pf_off
1,prefetcher,wb_pf_off,B,8,5,88.706,80.456,10.254,23.51,10.254,,False,wb_pf_off
1,prefetcher,wb_pf_off,B,8,6,91.065,80.456,13.187,23.51,13.187,,False,wb_pf_off
