phase,knob,knob_value,condition,n_aggr_cores,trial,cycles_per_load,quiescent_cycles,tax_pct,aggregate_bw_gbps,victim_slowdown_pct,page_kb,readonly,notes
2,cat_aggr_ways,off,A,8,0,91.055,79.508,14.523,23.512,14.523,,True,no_cat
2,cat_aggr_ways,off,A,8,1,90.407,79.508,13.708,23.512,13.708,,True,no_cat
2,cat_aggr_ways,off,A,8,2,90.142,79.508,13.374,23.512,13.374,,True,no_cat
2,cat_aggr_ways,off,A,8,3,94.191,79.508,18.467,23.512,18.467,,True,no_cat
2,cat_aggr_ways,off,A,8,4,92.491,79.508,16.329,23.512,16.329,,True,no_cat
2,cat_aggr_ways,off,A,8,5,91.092,79.508,14.569,23.512,14.569,,True,no_cat
2,cat_aggr_ways,off,A,8,6,90.645,79.508,14.007,23.512,14.007,,True,no_cat
2,cat_aggr_ways,off,A,8,7,90.349,79.508,13.635,23.512,13.635,,True,no_cat
2,cat_aggr_ways,off,A,8,8,90.882,79.508,14.305,23.512,14.305,,True,no_cat
2,cat_aggr_ways,off,A,8,9,91.144,79.508,14.635,23.512,14.635,,True,no_cat
2,cat_aggr_ways,off,A,8,10,90.555,79.508,13.894,23.512,13.894,,True,no_cat
2,cat_aggr_ways,off,A,8,11,90.381,79.508,13.675,23.512,13.675,,True,no_cat
2,cat_aggr_ways,off,A,8,12,93.012,79.508,16.984,23.512,16.984,,True,no_cat
2,cat_aggr_ways,off,A,8,13,93.024,79.508,16.999,23.512,16.999,,True,no_cat
2,cat_aggr_ways,off,A,8,14,92.094,79.508,15.83,23.512,15.83,,True,no_cat
2,cat_aggr_ways,off,A,8,15,91.212,79.508,14.72,23.512,14.72,,True,no_cat
2,cat_aggr_ways,off,A,8,16,90.557,79.508,13.896,23.512,13.896,,True,no_cat
2,cat_aggr_ways,off,A,8,17,90.372,79.508,13.664,23.512,13.664,,True,no_cat
2,cat_aggr_ways,off,A,8,18,90.948,79.508,14.388,23.512,14.388,,True,no_cat
2,cat_aggr_ways,off,A,8,19,90.761,79.508,14.153,23.512,14.153,,True,no_cat
2,cat_aggr_ways,off,A,8,20,90.442,79.508,13.752,23.512,13.752,,True,no_cat
2,cat_aggr_ways,off,A,8,21,90.356,79.508,13.644,23.512,13.644,,True,no_cat
2,cat_aggr_ways,off,A,8,22,90.189,79.508,13.434,23.512,13.434,,True,no_cat
2,cat_aggr_ways,off,A,8,23,91.274,79.508,14.798,23.512,14.798,,True,no_cat
2,cat_aggr_ways,off,A,8,24,90.72,79.508,14.101,23.512,14.101,,True,no_cat
2,cat_aggr_ways,off,A,8,25,90.327,79.508,13.607,23.512,13.607,,True,no_cat
2,cat_aggr_ways,off,A,8,26,90.402,79.508,13.701,23.512,13.701,,True,no_cat
2,cat_aggr_ways,off,A,8,27,90.363,79.508,13.652,23.512,13.652,,True,no_cat
