phase,knob,knob_value,condition,n_aggr_cores,trial,cycles_per_load,quiescent_cycles,tax_pct,aggregate_bw_gbps,victim_slowdown_pct,page_kb,readonly,notes
1c,page_kb,4,A,8,0,91.728,79.508,15.369,23.481,15.369,4,True,
1c,page_kb,4,A,8,1,91.459,79.508,15.031,23.481,15.031,4,True,
1c,page_kb,4,A,8,2,91.965,79.508,15.667,23.481,15.667,4,True,
1c,page_kb,4,A,8,3,92.202,79.508,15.966,23.481,15.966,4,True,
1c,page_kb,4,A,8,4,91.643,79.508,15.262,23.481,15.262,4,True,
1c,page_kb,4,A,8,5,91.467,79.508,15.041,23.481,15.041,4,True,
1c,page_kb,4,A,8,6,91.472,79.508,15.047,23.481,15.047,4,True,
1c,page_kb,4,A,8,7,91.427,79.508,14.991,23.481,14.991,4,True,
1c,page_kb,4,A,8,8,91.619,79.508,15.232,23.481,15.232,4,True,
1c,page_kb,4,A,8,9,91.929,79.508,15.622,23.481,15.622,4,True,
1c,page_kb,4,A,8,10,92.164,79.508,15.918,23.481,15.918,4,True,
1c,page_kb,4,A,8,11,91.852,79.508,15.525,23.481,15.525,4,True,
1c,page_kb,4,A,8,12,96.961,79.508,21.951,23.481,21.951,4,True,
1c,page_kb,4,A,8,13,94.114,79.508,18.37,23.481,18.37,4,True,
1c,page_kb,4,A,8,14,92.638,79.508,16.514,23.481,16.514,4,True,
1c,page_kb,4,A,8,15,92.214,79.508,15.981,23.481,15.981,4,True,
1c,page_kb,4,A,8,16,91.56,79.508,15.158,23.481,15.158,4,True,
1c,page_kb,4,A,8,17,91.398,79.508,14.954,23.481,14.954,4,True,
1c,page_kb,4,A,8,18,91.402,79.508,14.959,23.481,14.959,4,True,
1c,page_kb,4,A,8,19,91.22,79.508,14.73,23.481,14.73,4,True,
1c,page_kb,2048,A,8,0,91.804,79.508,15.465,23.512,15.465,2048,True,
1c,page_kb,2048,A,8,1,92.835,79.508,16.762,23.512,16.762,2048,True,
1c,page_kb,2048,A,8,2,92.146,79.508,15.895,23.512,15.895,2048,True,
1c,page_kb,2048,A,8,3,92.898,79.508,16.841,23.512,16.841,2048,True,
1c,page_kb,2048,A,8,4,92.092,79.508,15.827,23.512,15.827,2048,True,
1c,page_kb,2048,A,8,5,91.566,79.508,15.166,23.512,15.166,2048,True,
1c,page_kb,2048,A,8,6,91.449,79.508,15.018,23.512,15.018,2048,True,
1c,page_kb,2048,A,8,7,91.246,79.508,14.763,23.512,14.763,2048,True,
1c,page_kb,2048,A,8,8,91.256,79.508,14.776,23.512,14.776,2048,True,
1c,page_kb,2048,A,8,9,91.161,79.508,14.656,23.512,14.656,2048,True,
1c,page_kb,2048,A,8,10,91.834,79.508,15.503,23.512,15.503,2048,True,
1c,page_kb,2048,A,8,11,91.986,79.508,15.694,23.512,15.694,2048,True,
1c,page_kb,2048,A,8,12,91.904,79.508,15.591,23.512,15.591,2048,True,
1c,page_kb,2048,A,8,13,91.497,79.508,15.079,23.512,15.079,2048,True,
1c,page_kb,2048,A,8,14,91.292,79.508,14.821,23.512,14.821,2048,True,
1c,page_kb,2048,A,8,15,91.356,79.508,14.902,23.512,14.902,2048,True,
1c,page_kb,2048,A,8,16,91.106,79.508,14.587,23.512,14.587,2048,True,
1c,page_kb,2048,A,8,17,91.23,79.508,14.743,23.512,14.743,2048,True,
1c,page_kb,2048,A,8,18,91.697,79.508,15.33,23.512,15.33,2048,True,
1c,page_kb,2048,A,8,19,91.97,79.508,15.674,23.512,15.674,2048,True,
