phase,knob,knob_value,condition,n_aggr_cores,trial,cycles_per_load,quiescent_cycles,tax_pct,aggregate_bw_gbps,victim_slowdown_pct,page_kb,readonly,notes
3,mba_pct,100,A,8,0,90.614,79.507,13.971,23.514,13.971,,True,no_throttle
3,mba_pct,100,A,8,1,90.989,79.507,14.442,23.514,14.442,,True,no_throttle
3,mba_pct,100,A,8,2,91.88,79.507,15.563,23.514,15.563,,True,no_throttle
3,mba_pct,100,A,8,3,91.409,79.507,14.97,23.514,14.97,,True,no_throttle
3,mba_pct,100,A,8,4,90.703,79.507,14.082,23.514,14.082,,True,no_throttle
3,mba_pct,100,A,8,5,90.383,79.507,13.68,23.514,13.68,,True,no_throttle
3,mba_pct,100,A,8,6,90.974,79.507,14.423,23.514,14.423,,True,no_throttle
3,mba_pct,100,A,8,7,90.7,79.507,14.079,23.514,14.079,,True,no_throttle
3,mba_pct,100,A,8,8,90.6,79.507,13.953,23.514,13.953,,True,no_throttle
3,mba_pct,100,A,8,9,90.306,79.507,13.583,23.514,13.583,,True,no_throttle
3,mba_pct,100,A,8,10,90.139,79.507,13.373,23.514,13.373,,True,no_throttle
3,mba_pct,100,A,8,11,91.005,79.507,14.462,23.514,14.462,,True,no_throttle
3,mba_pct,100,A,8,12,90.622,79.507,13.981,23.514,13.981,,True,no_throttle
3,mba_pct,100,A,8,13,90.393,79.507,13.693,23.514,13.693,,True,no_throttle
3,mba_pct,100,A,8,14,90.387,79.507,13.685,23.514,13.685,,True,no_throttle
3,mba_pct,100,A,8,15,90.558,79.507,13.9,23.514,13.9,,True,no_throttle
3,mba_pct,100,A,8,16,91.324,79.507,14.864,23.514,14.864,,True,no_throttle
3,mba_pct,100,A,8,17,90.84,79.507,14.255,23.514,14.255,,True,no_throttle
3,mba_pct,100,A,8,18,91.234,79.507,14.75,23.514,14.75,,True,no_throttle
3,mba_pct,100,A,8,19,90.519,79.507,13.851,23.514,13.851,,True,no_throttle
3,mba_pct,100,A,8,20,90.447,79.507,13.761,23.514,13.761,,True,no_throttle
3,mba_pct,100,A,8,21,91.006,79.507,14.464,23.514,14.464,,True,no_throttle
3,mba_pct,100,A,8,22,90.416,79.507,13.722,23.514,13.722,,True,no_throttle
3,mba_pct,100,A,8,23,90.429,79.507,13.738,23.514,13.738,,True,no_throttle
3,mba_pct,100,A,8,24,90.197,79.507,13.446,23.514,13.446,,True,no_throttle
3,mba_pct,100,A,8,25,90.448,79.507,13.762,23.514,13.762,,True,no_throttle
3,mba_pct,100,A,8,26,90.865,79.507,14.286,23.514,14.286,,True,no_throttle
3,mba_pct,100,A,8,27,91.002,79.507,14.459,23.514,14.459,,True,no_throttle
3,mba_pct,100,A,8,28,90.461,79.507,13.778,23.514,13.778,,True,no_throttle
3,mba_pct,100,A,8,29,90.396,79.507,13.696,23.514,13.696,,True,no_throttle
