phase,run,metric,mode,value,unit,context
precheck,0,pmu_df_available,na,1,bool,system
precheck,0,pmu_l3_available,na,1,bool,system
prefetch_bw,1,bw_gbps,wb_load,15.752,GB/s,1thread
prefetch_bw,1,bw_gbps,wb_prefetchnta,15.683,GB/s,1thread
prefetch_bw,1,bw_gbps,wc_ntdqa,4.175,GB/s,1thread
prefetch_bw,2,bw_gbps,wb_load,15.767,GB/s,1thread
prefetch_bw,2,bw_gbps,wb_prefetchnta,15.681,GB/s,1thread
prefetch_bw,2,bw_gbps,wc_ntdqa,4.174,GB/s,1thread
prefetch_bw,3,bw_gbps,wb_load,15.770,GB/s,1thread
prefetch_bw,3,bw_gbps,wb_prefetchnta,15.681,GB/s,1thread
prefetch_bw,3,bw_gbps,wc_ntdqa,4.173,GB/s,1thread
prefetch_bw,4,bw_gbps,wb_load,15.768,GB/s,1thread
prefetch_bw,4,bw_gbps,wb_prefetchnta,15.674,GB/s,1thread
prefetch_bw,4,bw_gbps,wc_ntdqa,4.175,GB/s,1thread
prefetch_bw,5,bw_gbps,wb_load,15.764,GB/s,1thread
prefetch_bw,5,bw_gbps,wb_prefetchnta,15.689,GB/s,1thread
prefetch_bw,5,bw_gbps,wc_ntdqa,4.174,GB/s,1thread
pmu_pair,1,bw_gbps,wb_load,24.869,GB/s,chase
pmu_pair,1,cpi,wb_load,4643060.505569,cycles_per_iter,chase
pmu_pair,1,pmu_count,wb_load,110773,count,amd_df/event=0x07,umask=0x38/
pmu_pair,1,pmu_count,wb_load,6297818999,count,amd_l3/event=0x04,umask=0xff/
pmu_pair,1,bw_gbps,wc_ntdqa,24.799,GB/s,chase
pmu_pair,1,cpi,wc_ntdqa,3597060.753534,cycles_per_iter,chase
pmu_pair,1,pmu_count,wc_ntdqa,162177,count,amd_df/event=0x07,umask=0x38/
pmu_pair,1,pmu_count,wc_ntdqa,1311508262,count,amd_l3/event=0x04,umask=0xff/
pmu_pair,2,bw_gbps,wc_ntdqa,24.807,GB/s,chase
pmu_pair,2,cpi,wc_ntdqa,3582060.731286,cycles_per_iter,chase
pmu_pair,2,pmu_count,wc_ntdqa,303521,count,amd_df/event=0x07,umask=0x38/
pmu_pair,2,pmu_count,wc_ntdqa,1159975368,count,amd_l3/event=0x04,umask=0xff/
pmu_pair,2,bw_gbps,wb_load,24.910,GB/s,chase
pmu_pair,2,cpi,wb_load,4652745.307929,cycles_per_iter,chase
pmu_pair,2,pmu_count,wb_load,152372,count,amd_df/event=0x07,umask=0x38/
pmu_pair,2,pmu_count,wb_load,6374672909,count,amd_l3/event=0x04,umask=0xff/
pmu_pair,3,bw_gbps,wc_ntdqa,24.825,GB/s,chase
pmu_pair,3,cpi,wc_ntdqa,3587004.840469,cycles_per_iter,chase
pmu_pair,3,pmu_count,wc_ntdqa,145490,count,amd_df/event=0x07,umask=0x38/
pmu_pair,3,pmu_count,wc_ntdqa,1130264945,count,amd_l3/event=0x04,umask=0xff/
pmu_pair,3,bw_gbps,wb_load,24.861,GB/s,chase
pmu_pair,3,cpi,wb_load,4664528.098670,cycles_per_iter,chase
pmu_pair,3,pmu_count,wb_load,163208,count,amd_df/event=0x07,umask=0x38/
pmu_pair,3,pmu_count,wb_load,6366116611,count,amd_l3/event=0x04,umask=0xff/
pmu_pair,4,bw_gbps,wc_ntdqa,24.828,GB/s,chase
pmu_pair,4,cpi,wc_ntdqa,3614038.073411,cycles_per_iter,chase
pmu_pair,4,pmu_count,wc_ntdqa,151068,count,amd_df/event=0x07,umask=0x38/
pmu_pair,4,pmu_count,wc_ntdqa,1247900973,count,amd_l3/event=0x04,umask=0xff/
pmu_pair,4,bw_gbps,wb_load,24.849,GB/s,chase
pmu_pair,4,cpi,wb_load,4647175.700864,cycles_per_iter,chase
pmu_pair,4,pmu_count,wb_load,143855,count,amd_df/event=0x07,umask=0x38/
pmu_pair,4,pmu_count,wb_load,6292329663,count,amd_l3/event=0x04,umask=0xff/
pmu_pair,5,bw_gbps,wb_load,24.843,GB/s,chase
pmu_pair,5,cpi,wb_load,4659334.429051,cycles_per_iter,chase
pmu_pair,5,pmu_count,wb_load,118479,count,amd_df/event=0x07,umask=0x38/
pmu_pair,5,pmu_count,wb_load,6279868559,count,amd_l3/event=0x04,umask=0xff/
pmu_pair,5,bw_gbps,wc_ntdqa,24.838,GB/s,chase
pmu_pair,5,cpi,wc_ntdqa,3576828.061152,cycles_per_iter,chase
pmu_pair,5,pmu_count,wc_ntdqa,193688,count,amd_df/event=0x07,umask=0x38/
pmu_pair,5,pmu_count,wc_ntdqa,1140246530,count,amd_l3/event=0x04,umask=0xff/
