run,scenario,mode,threads,bw_gbps,cycles,iters,cpi
1,baseline,none,0,0,33408213103,8951,3732344.218858
1,wc,wc_ntdqa,9,20.916,33360363423,8994,3709179.833556
1,wb,wb_load,2,20.913,33361204730,7171,4652238.841166
2,baseline,none,0,0,33403696511,9262,3606531.689808
2,wc,wc_ntdqa,9,20.960,33365497439,9318,3580757.398476
2,wb,wb_load,2,20.893,33363001157,7175,4649895.631638
3,baseline,none,0,0,33401769612,9093,3673349.786869
3,wb,wb_load,2,20.872,33359878872,7165,4655949.598325
3,wc,wc_ntdqa,9,20.920,33354691341,8967,3719715.773503
4,baseline,none,0,0,33395363617,9191,3633485.324448
4,wb,wb_load,2,20.890,33348549462,7167,4653069.549602
4,wc,wc_ntdqa,9,20.931,33351229627,9338,3571560.251339
5,baseline,none,0,0,33387461266,9313,3585038.254698
5,wc,wc_ntdqa,9,20.952,33343391824,8943,3728434.733758
5,wb,wb_load,2,20.921,33342116672,7170,4650225.477266
6,baseline,none,0,0,33392718727,9274,3600681.337826
6,wb,wb_load,2,20.873,33346568628,7168,4652144.060826
6,wc,wc_ntdqa,9,20.952,33346825400,9183,3631365.065883
7,baseline,none,0,0,33387653168,9234,3615730.254278
7,wc,wc_ntdqa,9,20.946,33344168383,9214,3618859.168982
7,wb,wb_load,2,20.886,33342672822,7167,4652249.591461
8,baseline,none,0,0,33382192955,9206,3626134.364002
8,wc,wc_ntdqa,9,20.926,33352500389,9114,3659479.963682
8,wb,wb_load,2,20.918,33346353627,7173,4648871.271016
9,baseline,none,0,0,33403952629,9023,3702089.396985
9,wb,wb_load,2,20.917,33351968614,7162,4656795.394303
9,wc,wc_ntdqa,9,20.925,33354546760,9337,3572298.035772
10,baseline,none,0,0,33403080725,9325,3582099.809651
10,wb,wb_load,2,20.901,33357953992,7171,4651785.523916
10,wc,wc_ntdqa,9,20.918,33355796719,9083,3672332.568425
