metric,value
base_cpi_mean,3635748.443742
base_cpi_sd,50746.676783
base_n,10
base_cpi_cv_pct,1.396
wb_cpi_mean,4652322.493952
wb_cpi_sd,2500.030733
wb_n,10
wb_cpi_cv_pct,0.054
wc_cpi_mean,3646398.279338
wc_cpi_sd,60805.133233
wc_n,10
wc_cpi_cv_pct,1.668
wb_delta_cpi_pct_mean,27.982222
wb_delta_cpi_pct_sd,1.728683
wb_delta_n,10
wc_delta_cpi_pct_mean,0.309389
wc_delta_cpi_pct_sd,2.125280
wc_delta_n,10
paired_wb_minus_wc_delta_cpi_pct_mean,27.672833
paired_wb_minus_wc_delta_cpi_pct_sd,1.727006
paired_n,10
wb_bw_mean_gbps,20.898400
wb_bw_sd_gbps,0.018428
wb_bw_n,10
wc_bw_mean_gbps,20.934600
wc_bw_sd_gbps,0.016311
wc_bw_n,10
welch_t_wb_vs_wc_cpi,52.270691
welch_p_wb_vs_wc_cpi,1.602591e-12
paired_t_delta_wb_vs_wc,50.671034
paired_p_delta_wb_vs_wc,2.279376e-12
