exp,run,scenario,mode,threads,order_idx,cpi,bw_gbps,log_path,status
A,1,baseline,none,0,0,3613589.207680,0.000,/home/domin/CoherenceTest/APNET/results/20260308_180143/raw/expA/run1_baseline.log,PASS
A,1,wc,wc_ntdqa,9,1,3683803.105825,20.937,/home/domin/CoherenceTest/APNET/results/20260308_180143/raw/expA/run1_wc.log,PASS
A,1,wb,wb_load,2,2,4665853.682631,20.856,/home/domin/CoherenceTest/APNET/results/20260308_180143/raw/expA/run1_wb.log,PASS
A,2,baseline,none,0,0,3556427.354420,0.000,/home/domin/CoherenceTest/APNET/results/20260308_180143/raw/expA/run2_baseline.log,PASS
A,2,wc,wc_ntdqa,9,1,3761240.424890,20.913,/home/domin/CoherenceTest/APNET/results/20260308_180143/raw/expA/run2_wc.log,PASS
A,2,wb,wb_load,2,2,4654472.530797,20.945,/home/domin/CoherenceTest/APNET/results/20260308_180143/raw/expA/run2_wb.log,PASS
A,3,baseline,none,0,0,3694405.641182,0.000,/home/domin/CoherenceTest/APNET/results/20260308_180143/raw/expA/run3_baseline.log,PASS
A,3,wb,wb_load,2,1,4668199.275129,20.797,/home/domin/CoherenceTest/APNET/results/20260308_180143/raw/expA/run3_wb.log,PASS
A,3,wc,wc_ntdqa,9,2,3682535.189380,20.922,/home/domin/CoherenceTest/APNET/results/20260308_180143/raw/expA/run3_wc.log,PASS
A,4,baseline,none,0,0,3613746.020671,0.000,/home/domin/CoherenceTest/APNET/results/20260308_180143/raw/expA/run4_baseline.log,PASS
A,4,wb,wb_load,2,1,4657700.434898,20.927,/home/domin/CoherenceTest/APNET/results/20260308_180143/raw/expA/run4_wb.log,PASS
A,4,wc,wc_ntdqa,9,2,3589417.328192,20.951,/home/domin/CoherenceTest/APNET/results/20260308_180143/raw/expA/run4_wc.log,PASS
A,5,baseline,none,0,0,3652358.758202,0.000,/home/domin/CoherenceTest/APNET/results/20260308_180143/raw/expA/run5_baseline.log,PASS
A,5,wc,wc_ntdqa,9,1,3729241.465991,20.899,/home/domin/CoherenceTest/APNET/results/20260308_180143/raw/expA/run5_wc.log,PASS
A,5,wb,wb_load,2,2,4670386.146935,20.895,/home/domin/CoherenceTest/APNET/results/20260308_180143/raw/expA/run5_wb.log,PASS
