metric,value
base_cpi_mean,3630646.758232
base_cpi_sd,54843.080549
base_cpi_n,10
base_cpi_ci95_lo,3591414.381817
base_cpi_ci95_hi,3669879.134646
wb_cpi_mean,4662807.364303
wb_cpi_sd,5251.157391
wb_cpi_n,10
wb_cpi_ci95_lo,4659050.912599
wb_cpi_ci95_hi,4666563.816007
wc_cpi_mean,3647716.037973
wc_cpi_sd,66256.564689
wc_cpi_n,10
wc_cpi_ci95_lo,3600318.946859
wc_cpi_ci95_hi,3695113.129088
wb_delta_pct_mean,28.454274
wb_delta_pct_sd,1.854087
wb_delta_pct_n,10
wb_delta_pct_ci95_lo,27.127940
wb_delta_pct_ci95_hi,29.780608
wc_delta_pct_mean,0.489877
wc_delta_pct_sd,2.345642
wc_delta_pct_n,10
wc_delta_pct_ci95_lo,-1.188094
wc_delta_pct_ci95_hi,2.167848
paired_wb_minus_wc_delta_pct_mean,27.964397
paired_wb_minus_wc_delta_pct_sd,1.879582
paired_wb_minus_wc_delta_pct_n,10
paired_wb_minus_wc_delta_pct_ci95_lo,26.619825
paired_wb_minus_wc_delta_pct_ci95_hi,29.308969
wb_bw_gbps_mean,20.905600
wb_bw_gbps_sd,0.047857
wb_bw_gbps_n,10
wb_bw_gbps_ci95_lo,20.871365
wb_bw_gbps_ci95_hi,20.939835
wc_bw_gbps_mean,20.922500
wc_bw_gbps_sd,0.019979
wc_bw_gbps_n,10
wc_bw_gbps_ci95_lo,20.908208
wc_bw_gbps_ci95_hi,20.936792
