metric,value
base_cpi_mean,3629796.452039
base_cpi_sd,48567.671378
base_cpi_n,5
base_cpi_ci95_lo,3569491.723013
base_cpi_ci95_hi,3690101.181065
columnar_wb_cpi_mean,4724913.272096
columnar_wb_cpi_sd,6910.305250
columnar_wb_cpi_n,5
columnar_wb_cpi_ci95_lo,4716332.994851
columnar_wb_cpi_ci95_hi,4733493.549341
columnar_wb_delta_pct_mean,30.188963
columnar_wb_delta_pct_sd,1.762857
columnar_wb_delta_pct_n,5
columnar_wb_delta_pct_ci95_lo,28.000086
columnar_wb_delta_pct_ci95_hi,32.377839
columnar_wb_bw_gbps_mean,49.442600
columnar_wb_bw_gbps_sd,0.104722
columnar_wb_bw_gbps_n,5
columnar_wb_bw_gbps_ci95_lo,49.312570
columnar_wb_bw_gbps_ci95_hi,49.572630
