mode,threads,run,bw_gbps
wb_load,1,1,15.744
wb_load,1,2,15.752
wb_load,1,3,15.745
wb_load,2,1,20.783
wb_load,2,2,20.764
wb_load,2,3,20.768
wb_load,3,1,20.510
wb_load,3,2,20.520
wb_load,3,3,20.507
wb_load,4,1,23.454
wb_load,4,2,23.458
wb_load,4,3,23.417
wb_load,6,1,23.971
wb_load,6,2,24.041
wb_load,6,3,24.023
wb_load,8,1,24.836
wb_load,8,2,24.794
wb_load,8,3,24.839
wb_load,10,1,24.096
wb_load,10,2,24.312
wb_load,10,3,24.054
wb_load,12,1,25.511
wb_load,12,2,25.541
wb_load,12,3,25.532
wb_load,16,1,26.004
wb_load,16,2,25.994
wb_load,16,3,26.022
wc_ntdqa,1,1,4.179
wc_ntdqa,1,2,4.173
wc_ntdqa,1,3,4.173
wc_ntdqa,2,1,8.232
wc_ntdqa,2,2,8.223
wc_ntdqa,2,3,8.227
wc_ntdqa,3,1,12.054
wc_ntdqa,3,2,12.011
wc_ntdqa,3,3,12.060
wc_ntdqa,4,1,15.362
wc_ntdqa,4,2,15.391
wc_ntdqa,4,3,15.371
wc_ntdqa,6,1,17.878
wc_ntdqa,6,2,17.891
wc_ntdqa,6,3,17.887
wc_ntdqa,8,1,17.841
wc_ntdqa,8,2,17.844
wc_ntdqa,8,3,17.838
wc_ntdqa,10,1,23.896
wc_ntdqa,10,2,23.937
wc_ntdqa,10,3,23.878
wc_ntdqa,12,1,24.923
wc_ntdqa,12,2,24.919
wc_ntdqa,12,3,24.924
wc_ntdqa,16,1,24.978
wc_ntdqa,16,2,24.985
wc_ntdqa,16,3,24.986
