mode,threads,mean_bw_gbps,sd_bw_gbps,n
wb_load,1,15.747,0.004,3
wb_load,2,20.772,0.010,3
wb_load,3,20.512,0.007,3
wb_load,4,23.443,0.023,3
wb_load,6,24.012,0.036,3
wb_load,8,24.823,0.025,3
wb_load,10,24.154,0.138,3
wb_load,12,25.528,0.015,3
wb_load,16,26.007,0.014,3
wc_ntdqa,1,4.175,0.003,3
wc_ntdqa,2,8.227,0.005,3
wc_ntdqa,3,12.042,0.027,3
wc_ntdqa,4,15.375,0.015,3
wc_ntdqa,6,17.885,0.007,3
wc_ntdqa,8,17.841,0.003,3
wc_ntdqa,10,23.904,0.030,3
wc_ntdqa,12,24.922,0.003,3
wc_ntdqa,16,24.983,0.004,3
