profile,run,scenario,band,mode,threads,bw_gbps,ipc,l2_miss_rate,cyc_per_iter,base_ipc,base_l2_miss_rate,base_cyc_per_iter,delta_ipc_pct,delta_l2_miss_abs,delta_cpi_pct
chase,1,high_wb,high,wb_load,8,24.825,0.0353,98.94,4643732.4025087105,0.0446,89.45,3672733.3150021997,-20.85201793721974,9.489999999999995,26.43805047157172
chase,2,high_wb,high,wb_load,8,24.878,0.0352,99.25,4664267.8943317,0.0459,85.14,3572184.2708110423,-23.311546840958606,14.11,30.57187257791455
chase,3,high_wb,high,wb_load,8,24.831,0.0353,99.03,4648470.103948654,0.0449,88.41,3649555.421420765,-21.380846325167045,10.620000000000005,27.37085938371674
chase,4,high_wb,high,wb_load,8,24.827,0.0352,99.13,4657203.261076171,0.0451,87.76,3634144.677661659,-21.95121951219512,11.36999999999999,28.151289344726493
chase,5,high_wb,high,wb_load,8,24.806,0.0352,99.3,4663821.842945129,0.0446,85.76,3677917.3361974005,-21.0762331838565,13.539999999999992,26.806053987256146
chase,1,high_wc,high,wc_ntdqa,12,24.87,0.0452,86.73,3628465.925002721,0.0446,89.45,3672733.3150021997,1.3452914798206197,-2.719999999999999,-1.2052982398329153
chase,2,high_wc,high,wc_ntdqa,12,24.877,0.0444,89.54,3696199.2311786227,0.0459,85.14,3572184.2708110423,-3.267973856209153,4.400000000000006,3.471684296382157
chase,3,high_wc,high,wc_ntdqa,12,24.889,0.0458,84.64,3580353.9961327747,0.0449,88.41,3649555.421420765,2.0044543429844053,-3.769999999999996,-1.8961604167405788
chase,4,high_wc,high,wc_ntdqa,12,24.913,0.0457,85.06,3588513.296112846,0.0451,87.76,3634144.677661659,1.3303769401330297,-2.700000000000003,-1.2556291946575437
chase,5,high_wc,high,wc_ntdqa,12,24.867,0.0444,85.27,3691568.9751883033,0.0446,85.76,3677917.3361974005,-0.4484304932735399,-0.4900000000000091,0.3711785160733721
chase,1,low_wb,low,wb_load,1,15.837,0.0449,88.38,3649549.468503937,0.0446,89.45,3672733.3150021997,0.6726457399103176,-1.0700000000000074,-0.631242306746378
chase,2,low_wb,low,wb_load,1,15.835,0.0446,85.69,3677356.891522434,0.0459,85.14,3572184.2708110423,-2.832244008714602,0.5499999999999972,2.944210397284824
chase,3,low_wb,low,wb_load,1,15.831,0.0437,88.36,3749604.088417032,0.0449,88.41,3649555.421420765,-2.672605790645879,-0.04999999999999716,2.7413932779055576
chase,4,low_wb,low,wb_load,1,15.834,0.045,88.28,3647006.551742979,0.0451,87.76,3634144.677661659,-0.2217294900221793,0.519999999999996,0.3539175025248434
chase,5,low_wb,low,wb_load,1,15.836,0.046,84.71,3564504.9072550484,0.0446,85.76,3677917.3361974005,3.139013452914795,-1.0500000000000114,-3.08360462118513
chase,1,low_wc,low,wc_ntdqa,4,15.394,0.0452,87.21,3624918.9917427204,0.0446,89.45,3672733.3150021997,1.3452914798206197,-2.240000000000009,-1.30187299644572
chase,2,low_wc,low,wc_ntdqa,4,15.379,0.0446,85.64,3679917.267571444,0.0459,85.14,3572184.2708110423,-2.832244008714602,0.5,3.015885760449356
chase,3,low_wc,low,wc_ntdqa,4,15.397,0.0454,86.68,3613135.4389213775,0.0449,88.41,3649555.421420765,1.1135857461024508,-1.7299999999999898,-0.9979292898423597
chase,4,low_wc,low,wc_ntdqa,4,15.367,0.0456,85.89,3596516.387924528,0.0451,87.76,3634144.677661659,1.1086474501108656,-1.8700000000000045,-1.0354097889504605
chase,5,low_wc,low,wc_ntdqa,4,15.379,0.0447,89.13,3670484.7630420425,0.0446,85.76,3677917.3361974005,0.22421524663676215,3.3699999999999903,-0.20208646568012611
chase,1,mid_wb,mid,wb_load,2,20.86,0.0352,99.77,4657646.070420567,0.0446,89.45,3672733.3150021997,-21.0762331838565,10.319999999999993,26.816887340968762
chase,2,mid_wb,mid,wb_load,2,20.875,0.0352,99.75,4656264.77503142,0.0459,85.14,3572184.2708110423,-23.311546840958606,14.61,30.347832643421956
chase,3,mid_wb,mid,wb_load,2,20.867,0.0352,99.8,4655308.301270418,0.0449,88.41,3649555.421420765,-21.603563474387528,11.39,27.55823007773684
chase,4,mid_wb,mid,wb_load,2,20.92,0.0352,99.76,4652929.7598046055,0.0451,87.76,3634144.677661659,-21.95121951219512,12.0,28.033696302879985
chase,5,mid_wb,mid,wb_load,2,20.873,0.0352,99.77,4654462.895434874,0.0446,85.76,3677917.3361974005,-21.0762331838565,14.009999999999991,26.551590750191366
chase,1,mid_wc,mid,wc_ntdqa,9,20.924,0.0453,86.67,3621494.3906810037,0.0446,89.45,3672733.3150021997,1.5695067264573974,-2.780000000000001,-1.395116931357303
chase,2,mid_wc,mid,wc_ntdqa,9,20.924,0.0457,85.11,3584539.767286805,0.0459,85.14,3572184.2708110423,-0.43572984749456584,-0.030000000000001137,0.3458807144055155
chase,3,mid_wc,mid,wc_ntdqa,9,20.933,0.0451,87.44,3638332.496180707,0.0449,88.41,3649555.421420765,0.44543429844097726,-0.9699999999999989,-0.30751485986994337
chase,4,mid_wc,mid,wc_ntdqa,9,20.936,0.0459,84.52,3571411.7993142614,0.0451,87.76,3634144.677661659,1.7738359201773881,-3.240000000000009,-1.726207509926721
chase,5,mid_wc,mid,wc_ntdqa,9,20.952,0.0451,87.19,3631706.7885851213,0.0446,85.76,3677917.3361974005,1.1210762331838575,1.4299999999999926,-1.2564324694707871
l2hot,1,high_wb,high,wb_load,8,24.874,0.9963,0.0,6282.189482840996,0.9957,0.0,6286.053608238896,0.060259114191014755,0.0,-0.061471403820606736
l2hot,2,high_wb,high,wb_load,8,24.855,0.9961,0.0,6283.429749534484,0.9957,0.0,6286.2895307693825,0.040172742794009834,0.0,-0.04549235635586349
l2hot,3,high_wb,high,wb_load,8,24.879,0.995,0.0,6290.203056387849,0.9965,0.0,6280.985852048243,-0.15052684395384414,0.0,0.14674773286744572
l2hot,4,high_wb,high,wb_load,8,24.792,0.9956,0.0,6286.803100670311,0.9965,0.0,6280.832738205657,-0.09031610637230425,0.0,0.09505686130339694
l2hot,5,high_wb,high,wb_load,8,24.894,0.9957,0.0,6286.079725594856,0.9965,0.0,6281.113621474983,-0.08028098344204947,0.0,0.07906407078665655
l2hot,1,high_wc,high,wc_ntdqa,12,24.893,0.9956,0.0,6286.551986666415,0.9957,0.0,6286.053608238896,-0.010043185698502459,0.0,0.00792831971502633
l2hot,2,high_wc,high,wc_ntdqa,12,24.911,0.9964,0.0,6281.615002540316,0.9957,0.0,6286.2895307693825,0.07030229988951721,0.0,-0.07436068934124629
l2hot,3,high_wc,high,wc_ntdqa,12,24.902,0.9919,0.0,6309.820665103113,0.9965,0.0,6280.985852048243,-0.461615654791776,0.0,0.4590810062956457
l2hot,4,high_wc,high,wc_ntdqa,12,24.914,0.9955,0.0,6287.20916306483,0.9965,0.0,6280.832738205657,-0.10035122930255903,0.0,0.10152196571620477
l2hot,5,high_wc,high,wc_ntdqa,12,24.879,0.9935,0.0,6300.259914172552,0.9965,0.0,6281.113621474983,-0.3010536879076771,0.0,0.3048232184832387
l2hot,1,low_wb,low,wb_load,1,15.832,0.9956,0.0,6286.622371813903,0.9957,0.0,6286.053608238896,-0.010043185698502459,0.0,0.00904802297996564
l2hot,2,low_wb,low,wb_load,1,15.833,0.9956,0.0,6286.556744406029,0.9957,0.0,6286.2895307693825,-0.010043185698502459,0.0,0.004250737026006345
l2hot,3,low_wb,low,wb_load,1,15.84,0.9965,0.0,6281.178043207316,0.9965,0.0,6280.985852048243,0.0,0.0,0.0030598884251564085
l2hot,4,low_wb,low,wb_load,1,15.831,0.9965,0.0,6281.256991248171,0.9965,0.0,6280.832738205657,0.0,0.0,0.006754726008444352
l2hot,5,low_wb,low,wb_load,1,15.838,0.9947,0.0,6292.293146853147,0.9965,0.0,6281.113621474983,-0.1806322127446085,0.0,0.1779863580232218
l2hot,1,low_wc,low,wc_ntdqa,4,15.381,0.9965,0.0,6281.244561687625,0.9957,0.0,6286.053608238896,0.08034548558803083,0.0,-0.0765034288757637
l2hot,2,low_wc,low,wc_ntdqa,4,15.407,0.996,0.0,6284.407681525956,0.9957,0.0,6286.2895307693825,0.030129557095507378,0.0,-0.02993577108110491
l2hot,3,low_wc,low,wc_ntdqa,4,15.375,0.9965,0.0,6280.96370098747,0.9965,0.0,6280.985852048243,0.0,0.0,-0.00035266853476900717
l2hot,4,low_wc,low,wc_ntdqa,4,15.378,0.9955,0.0,6287.135010185089,0.9965,0.0,6280.832738205657,-0.10035122930255903,0.0,0.10034134392875199
