profile,run,scenario,band,mode,threads,bw_gbps,ipc,l2_miss_rate,cycles,iters,cyc_per_iter,victim_rc,aggressor_rc
chase,1,baseline,none,none,0,0.0,0.0446,89.45,33392491300,9092,3672733.3150021997,0,0
chase,1,high_wb,high,wb_load,8,24.825,0.0353,98.94,33318779988,7175,4643732.4025087105,0,0
chase,1,high_wc,high,wc_ntdqa,12,24.87,0.0452,86.73,33334716453,9187,3628465.925002721,0,0
chase,1,low_wb,low,wb_load,1,15.837,0.0449,88.38,33371480340,9144,3649549.468503937,0,0
chase,1,low_wc,low,wc_ntdqa,4,15.394,0.0452,87.21,33363754400,9204,3624918.9917427204,0,0
chase,1,mid_wb,mid,wb_load,2,20.86,0.0352,99.77,33334772926,7157,4657646.070420567,0,0
chase,1,mid_wc,mid,wc_ntdqa,9,20.924,0.0453,86.67,33343098855,9207,3621494.3906810037,0,0
chase,2,baseline,none,none,0,0.0,0.0459,85.14,33385634195,9346,3572184.2708110423,0,0
chase,2,high_wb,high,wb_load,8,24.878,0.0352,99.25,33326194105,7145,4664267.8943317,0,0
chase,2,high_wc,high,wc_ntdqa,12,24.877,0.0444,89.54,33336020866,9019,3696199.2311786227,0,0
chase,2,low_wb,low,wb_load,1,15.835,0.0446,85.69,33357304363,9071,3677356.891522434,0,0
chase,2,low_wc,low,wc_ntdqa,4,15.379,0.0446,85.64,33351090196,9063,3679917.267571444,0,0
chase,2,mid_wb,mid,wb_load,2,20.875,0.0352,99.75,33343512054,7161,4656264.77503142,0,0
chase,2,mid_wc,mid,wc_ntdqa,9,20.924,0.0457,85.11,33332635296,9299,3584539.767286805,0,0
chase,3,baseline,none,none,0,0.0,0.0449,88.41,33393432106,9150,3649555.421420765,0,0
chase,3,high_wb,high,wb_load,8,24.831,0.0353,99.03,33315585235,7167,4648470.103948654,0,0
chase,3,high_wc,high,wc_ntdqa,12,24.889,0.0458,84.64,33329515350,9309,3580353.9961327747,0,0
chase,3,low_wb,low,wb_load,1,15.831,0.0437,88.36,33375225991,8901,3749604.088417032,0,0
chase,3,low_wc,low,wc_ntdqa,4,15.397,0.0454,86.68,33363692643,9234,3613135.4389213775,0,0
chase,3,mid_wb,mid,wb_load,2,20.867,0.0352,99.8,33345973362,7163,4655308.301270418,0,0
chase,3,mid_wc,mid,wc_ntdqa,9,20.933,0.0451,87.44,33341678995,9164,3638332.496180707,0,0
chase,4,baseline,none,none,0,0.0,0.0451,87.76,33383253009,9186,3634144.677661659,0,0
