profile,band,mode,threads,n,bw_mean,bw_sd,ipc_mean,ipc_sd,l2_miss_mean,l2_miss_sd,cpi_mean,cpi_sd,delta_ipc_mean_pct,delta_ipc_sd_pct,delta_cpi_mean_pct,delta_cpi_sd_pct,delta_l2_miss_mean_abs,delta_l2_miss_sd_abs
chase,high,wb_load,8,5,24.833,0.027,0.035240,0.000055,99.1300,0.1495,4655499.101,9177.771,-21.714,0.984,27.868,1.644,11.8260,1.9541
chase,high,wc_ntdqa,12,5,24.883,0.019,0.045100,0.000678,86.2480,2.0014,3637020.285,55033.809,0.193,2.138,-0.103,2.166,-1.0560,3.2759
chase,low,wb_load,1,5,15.835,0.002,0.044840,0.000826,87.0840,1.7548,3657604.381,66518.448,-0.383,2.489,0.465,2.507,-0.2200,0.8032
chase,low,wc_ntdqa,4,5,15.383,0.012,0.045100,0.000436,86.9100,1.3897,3636994.570,36460.636,0.192,1.744,-0.104,1.792,-0.3940,2.3632
chase,mid,wb_load,2,5,20.879,0.024,0.035200,0.000000,99.7700,0.0187,4655322.360,1785.440,-21.804,0.921,27.862,1.509,12.4660,1.8001
chase,mid,wc_ntdqa,9,5,20.934,0.011,0.045420,0.000363,86.1860,1.2989,3609497.048,29757.536,0.895,0.902,-0.868,0.859,-1.1180,1.9341
l2hot,high,wb_load,8,5,24.859,0.040,0.995740,0.000503,0.0000,0.0000,6285.741,3.127,-0.044,0.091,0.043,0.092,0.0000,0.0000
l2hot,high,wc_ntdqa,12,5,24.900,0.014,0.994580,0.001840,0.0000,0.0000,6293.091,11.622,-0.161,0.218,0.160,0.219,0.0000,0.0000
l2hot,low,wb_load,1,5,15.835,0.004,0.995780,0.000753,0.0000,0.0000,6285.581,4.614,-0.040,0.079,0.040,0.077,0.0000,0.0000
l2hot,low,wc_ntdqa,4,5,15.384,0.013,0.996200,0.000447,0.0000,0.0000,6282.926,2.774,0.002,0.066,-0.002,0.065,0.0000,0.0000
l2hot,mid,wb_load,2,5,20.882,0.005,0.995460,0.000493,0.0000,0.0000,6287.654,3.004,-0.072,0.056,0.073,0.057,0.0000,0.0000
l2hot,mid,wc_ntdqa,9,5,20.940,0.004,0.995660,0.000467,0.0000,0.0000,6286.388,3.005,-0.052,0.073,0.053,0.076,0.0000,0.0000
