profile,run,scenario,band,mode,threads,bw_gbps,ipc,l2_miss_rate,cyc_per_iter,base_ipc,base_l2_miss_rate,base_cyc_per_iter,delta_ipc_pct,delta_l2_miss_abs,delta_cpi_pct
chase,1,high_wb,high,wb_load,8,24.726,0.0389,93.71,4218725.887203791,0.0455,86.58,3606739.9141700403,-14.505494505494509,7.1299999999999955,16.967843193500055
chase,1,high_wc,high,wc_ntdqa,12,24.537,0.0441,85.74,3718841.0451882845,0.0455,86.58,3606739.9141700403,-3.0769230769230735,-0.8400000000000034,3.108101323797288
chase,1,low_wb,low,wb_load,1,15.826,0.0453,87.21,3621326.8307567127,0.0455,86.58,3606739.9141700403,-0.4395604395604369,0.6299999999999955,0.40443494495857124
chase,1,low_wc,low,wc_ntdqa,4,15.336,0.0445,85.76,3687636.8674399336,0.0455,86.58,3606739.9141700403,-2.1978021978021998,-0.8199999999999932,2.2429383652552275
chase,1,mid_wb,mid,wb_load,2,20.779,0.0359,98.39,4569047.932098766,0.0455,86.58,3606739.9141700403,-21.098901098901095,11.810000000000002,26.68082647567799
chase,1,mid_wc,mid,wc_ntdqa,9,20.816,0.0443,85.88,3704228.315570358,0.0455,86.58,3606739.9141700403,-2.637362637362637,-0.7000000000000028,2.702950690104066
l2hot,1,high_wb,high,wb_load,8,24.566,0.996,0.0,6283.90713534498,0.9957,0.0,6286.03581717393,0.030129557095507378,0.0,-0.033863660514537194
l2hot,1,high_wc,high,wc_ntdqa,12,24.575,0.992,0.0,6309.328213246559,0.9957,0.0,6286.03581717393,-0.3715978708446356,0.0,0.37054189237981655
l2hot,1,low_wb,low,wb_load,1,15.827,0.9957,0.0,6286.095554360149,0.9957,0.0,6286.03581717393,0.0,0.0,0.0009503157149746011
l2hot,1,low_wc,low,wc_ntdqa,4,15.339,0.9954,0.0,6287.647519574873,0.9957,0.0,6286.03581717393,-0.03012955709551853,0.0,0.02563940848920094
l2hot,1,mid_wb,mid,wb_load,2,20.868,0.9955,0.0,6287.0979782775685,0.9957,0.0,6286.03581717393,-0.020086371397004917,0.0,0.01689715322233239
l2hot,1,mid_wc,mid,wc_ntdqa,9,20.786,0.9964,0.0,6281.414237518678,0.9957,0.0,6286.03581717393,0.07030229988951721,0.0,-0.07352137006004598
