profile,run,scenario,band,mode,threads,bw_gbps,ipc,l2_miss_rate,cycles,iters,cyc_per_iter,victim_rc,aggressor_rc
chase,1,baseline,none,none,0,0.0,0.0455,86.58,4454323794,1235,3606739.9141700403,0,0
chase,1,high_wb,high,wb_load,8,24.726,0.0389,93.71,4450755811,1055,4218725.887203791,0,0
chase,1,high_wc,high,wc_ntdqa,12,24.537,0.0441,85.74,4444015049,1195,3718841.0451882845,0,0
chase,1,low_wb,low,wb_load,1,15.826,0.0453,87.21,4450610675,1229,3621326.8307567127,0,0
chase,1,low_wc,low,wc_ntdqa,4,15.336,0.0445,85.76,4450977699,1207,3687636.8674399336,0,0
chase,1,mid_wb,mid,wb_load,2,20.779,0.0359,98.39,4441114590,972,4569047.932098766,0,0
chase,1,mid_wc,mid,wc_ntdqa,9,20.816,0.0443,85.88,4448778207,1201,3704228.315570358,0,0
l2hot,1,baseline,none,none,0,0.0,0.9957,0.0,4462173955,709855,6286.03581717393,0,0
l2hot,1,high_wb,high,wb_load,8,24.566,0.996,0.0,4451362717,708375,6283.90713534498,0,0
l2hot,1,high_wc,high,wc_ntdqa,12,24.575,0.992,0.0,4451779966,705587,6309.328213246559,0,0
l2hot,1,low_wb,low,wb_load,1,15.827,0.9957,0.0,4452234040,708267,6286.095554360149,0,0
l2hot,1,low_wc,low,wc_ntdqa,4,15.339,0.9954,0.0,4453578464,708306,6287.647519574873,0,0
l2hot,1,mid_wb,mid,wb_load,2,20.868,0.9955,0.0,4452573085,708208,6287.0979782775685,0,0
l2hot,1,mid_wc,mid,wc_ntdqa,9,20.786,0.9964,0.0,4451757617,708719,6281.414237518678,0,0
