profile,band,mode,threads,n,bw_mean,bw_sd,ipc_mean,ipc_sd,l2_miss_mean,l2_miss_sd,cpi_mean,cpi_sd,delta_ipc_mean_pct,delta_ipc_sd_pct,delta_cpi_mean_pct,delta_cpi_sd_pct,delta_l2_miss_mean_abs,delta_l2_miss_sd_abs
chase,high,wb_load,8,1,24.726,0.000,0.038900,0.000000,93.7100,0.0000,4218725.887,0.000,-14.505,0.000,16.968,0.000,7.1300,0.0000
chase,high,wc_ntdqa,12,1,24.537,0.000,0.044100,0.000000,85.7400,0.0000,3718841.045,0.000,-3.077,0.000,3.108,0.000,-0.8400,0.0000
chase,low,wb_load,1,1,15.826,0.000,0.045300,0.000000,87.2100,0.0000,3621326.831,0.000,-0.440,0.000,0.404,0.000,0.6300,0.0000
chase,low,wc_ntdqa,4,1,15.336,0.000,0.044500,0.000000,85.7600,0.0000,3687636.867,0.000,-2.198,0.000,2.243,0.000,-0.8200,0.0000
chase,mid,wb_load,2,1,20.779,0.000,0.035900,0.000000,98.3900,0.0000,4569047.932,0.000,-21.099,0.000,26.681,0.000,11.8100,0.0000
chase,mid,wc_ntdqa,9,1,20.816,0.000,0.044300,0.000000,85.8800,0.0000,3704228.316,0.000,-2.637,0.000,2.703,0.000,-0.7000,0.0000
l2hot,high,wb_load,8,1,24.566,0.000,0.996000,0.000000,0.0000,0.0000,6283.907,0.000,0.030,0.000,-0.034,0.000,0.0000,0.0000
l2hot,high,wc_ntdqa,12,1,24.575,0.000,0.992000,0.000000,0.0000,0.0000,6309.328,0.000,-0.372,0.000,0.371,0.000,0.0000,0.0000
l2hot,low,wb_load,1,1,15.827,0.000,0.995700,0.000000,0.0000,0.0000,6286.096,0.000,0.000,0.000,0.001,0.000,0.0000,0.0000
l2hot,low,wc_ntdqa,4,1,15.339,0.000,0.995400,0.000000,0.0000,0.0000,6287.648,0.000,-0.030,0.000,0.026,0.000,0.0000,0.0000
l2hot,mid,wb_load,2,1,20.868,0.000,0.995500,0.000000,0.0000,0.0000,6287.098,0.000,-0.020,0.000,0.017,0.000,0.0000,0.0000
l2hot,mid,wc_ntdqa,9,1,20.786,0.000,0.996400,0.000000,0.0000,0.0000,6281.414,0.000,0.070,0.000,-0.074,0.000,0.0000,0.0000
