profile,placement,run,mode,threads,bw_gbps,ipc,l2_miss_rate,cyc_per_iter,base_ipc,base_cpi,delta_ipc_pct,delta_cpi_pct
l2hot,A_same_ccd,1,wb_load,8,24.524,0.9932,0.0,6301.915149923909,0.9965,6281.210386008268,-0.33115905669845264,0.32963016111929266
l2hot,A_same_ccd,1,wc_ntdqa,8,17.875,0.9956,0.0,6286.551381637519,0.9965,6281.210386008268,-0.09031610637230425,0.085031312454493
l2hot,A_same_ccd,2,wc_ntdqa,8,17.874,0.9956,0.0,6286.962592810448,0.9961,6283.63885483285,-0.050195763477556964,0.05289511466818217
l2hot,A_same_ccd,2,wb_load,8,24.561,0.9923,0.0,6307.477921507217,0.9961,6283.63885483285,-0.38148780242947755,0.37938314446623733
l2hot,A_same_ccd,3,wb_load,8,24.61,0.9931,0.0,6302.474713694392,0.9957,6286.121376722722,-0.2611228281610974,0.2601498760782193
l2hot,A_same_ccd,3,wc_ntdqa,8,17.875,0.9965,0.0,6281.275892409331,0.9957,6286.121376722722,0.08034548558803083,-0.07708225824803662
l2hot,A_same_ccd,4,wc_ntdqa,8,17.873,0.9956,0.0,6286.875190898113,0.9958,6285.425689876241,-0.02008435428800743,0.02306130234275546
l2hot,A_same_ccd,4,wb_load,8,24.557,0.9919,0.0,6310.270001278203,0.9958,6285.425689876241,-0.39164490861618945,0.39526855662263205
l2hot,A_same_ccd,5,wc_ntdqa,8,17.877,0.9955,0.0,6287.3836304899505,0.9963,6282.1931100810225,-0.08029709926728013,0.08262274524160688
l2hot,A_same_ccd,5,wb_load,8,24.6,0.9921,0.0,6309.142831572548,0.9963,6282.1931100810225,-0.42155977115326526,0.42898588151133543
l2hot,B_diff_ccd_same_socket,1,wc_ntdqa,8,17.829,0.9955,0.0,6287.1613324245545,0.9954,6288.03257770588,0.010046212577868195,-0.013855610169930725
l2hot,B_diff_ccd_same_socket,1,wb_load,8,24.904,0.9965,0.0,6281.174798921964,0.9954,6288.03257770588,0.11050833835644977,-0.10906080239199087
l2hot,B_diff_ccd_same_socket,2,wc_ntdqa,8,17.828,0.9952,0.0,6289.426766875437,0.9964,6281.856065716647,-0.1204335608189461,0.12051694721417439
l2hot,B_diff_ccd_same_socket,2,wb_load,8,24.849,0.9956,0.0,6286.870067172382,0.9964,6281.856065716647,-0.08028904054595663,0.07981719739009345
l2hot,B_diff_ccd_same_socket,3,wc_ntdqa,8,17.833,0.9964,0.0,6281.65372823017,0.9964,6281.371431548864,0.0,0.004494188639882989
l2hot,B_diff_ccd_same_socket,3,wb_load,8,24.87,0.9965,0.0,6280.789895277039,0.9964,6281.371431548864,0.010036130068255721,-0.009258109923321644
l2hot,B_diff_ccd_same_socket,4,wc_ntdqa,8,17.828,0.9953,0.0,6288.313251818658,0.9965,6281.092687346945,-0.12042147516307976,0.11495713932478564
l2hot,B_diff_ccd_same_socket,4,wb_load,8,24.848,0.9957,0.0,6286.159025263821,0.9965,6281.092687346945,-0.08028098344204947,0.08066013620657797
l2hot,B_diff_ccd_same_socket,5,wc_ntdqa,8,17.834,0.9951,0.0,6290.142798925177,0.9957,6286.2958617342465,-0.060259114191025906,0.061195611462505885
l2hot,B_diff_ccd_same_socket,5,wb_load,8,24.813,0.9959,0.0,6284.572641667735,0.9957,6286.2958617342465,0.020086371397004917,-0.027412328411087636
l2hot,C_diff_socket,1,wb_load,8,24.829,0.9957,0.0,6286.137541338979,0.9958,6285.503054569796,-0.010042177144003715,0.010094446914969446
l2hot,C_diff_socket,1,wc_ntdqa,8,17.834,0.9958,0.0,6285.700636743867,0.9958,6285.503054569796,0.0,0.0031434584050842786
l2hot,C_diff_socket,2,wb_load,8,24.82,0.9966,0.0,6280.542942584631,0.9948,6291.765045679372,0.18094089264173943,-0.17836176356341618
l2hot,C_diff_socket,2,wc_ntdqa,8,17.834,0.9965,0.0,6281.115573983822,0.9948,6291.765045679372,0.1708886208283107,-0.16926047966242086
l2hot,C_diff_socket,3,wb_load,8,24.898,0.9956,0.0,6286.417071405048,0.9957,6286.227297636109,-0.010043185698502459,0.0030188817545634154
l2hot,C_diff_socket,3,wc_ntdqa,8,17.848,0.9927,0.0,6304.922448148043,0.9957,6286.227297636109,-0.30129557095510723,0.2973985767101405
l2hot,C_diff_socket,4,wc_ntdqa,8,17.832,0.9927,0.0,6304.793830092557,0.9944,6294.089629619321,-0.1709573612228403,0.17006749352381081
l2hot,C_diff_socket,4,wb_load,8,24.874,0.9965,0.0,6280.822796085604,0.9944,6294.089629619321,0.2111826226870577,-0.2107824056283728
l2hot,C_diff_socket,5,wc_ntdqa,8,17.834,0.9966,0.0,6280.398430026278,0.9953,6288.879997037623,0.13061388526073334,-0.13486609722780674
l2hot,C_diff_socket,5,wb_load,8,24.836,0.9954,0.0,6288.007984870929,0.9953,6288.879997037623,0.010047221943131618,-0.013865937449984458
l2hot,D_both_sockets,1,wb_load,8,25.122,0.9966,0.0,6280.391357600971,0.9957,6286.2018495181355,0.09038867128653329,-0.09243247442985073
l2hot,D_both_sockets,1,wc_ntdqa,8,24.558,0.9965,0.0,6281.189649666774,0.9957,6286.2018495181355,0.08034548558803083,-0.07973335841491645
l2hot,D_both_sockets,2,wc_ntdqa,8,24.55,0.9958,0.0,6285.4028493941105,0.9964,6281.570907782744,-0.06021678040946748,0.06100291897714066
l2hot,D_both_sockets,2,wb_load,8,25.131,0.9957,0.0,6285.781561784114,0.9964,6281.570907782744,-0.07025291047771205,0.06703186293978171
l2hot,D_both_sockets,3,wb_load,8,25.134,0.9956,0.0,6286.565921521694,0.9965,6280.881866053835,-0.09031610637230425,0.0904977292851001
l2hot,D_both_sockets,3,wc_ntdqa,8,24.539,0.9964,0.0,6281.669907108991,0.9965,6280.881866053835,-0.01003512293026593,0.012546662585938785
l2hot,D_both_sockets,4,wc_ntdqa,8,24.547,0.9965,0.0,6280.689318894436,0.9942,6295.34142138125,0.23134178233756586,-0.23274516036652917
l2hot,D_both_sockets,4,wb_load,8,25.128,0.9964,0.0,6281.333831217045,0.9942,6295.34142138125,0.22128344397505328,-0.22250723553499507
l2hot,D_both_sockets,5,wb_load,8,25.137,0.9954,0.0,6287.939704001771,0.9951,6289.826646821175,0.030147723846846244,-0.02999991772996684
l2hot,D_both_sockets,5,wc_ntdqa,8,24.556,0.9957,0.0,6286.083429138983,0.9951,6289.826646821175,0.060295447693703645,-0.05951225514432808
chase,A_same_ccd,1,wc_ntdqa,8,17.869,0.0446,85.14,3676483.552631579,0.0441,3717075.280369669,1.1337868480725632,-1.0920340503314587
chase,A_same_ccd,1,wb_load,8,24.566,0.0045,93.4,36650954.635359116,0.0441,3717075.280369669,-89.79591836734694,886.0159364788038
chase,A_same_ccd,2,wc_ntdqa,8,17.869,0.0457,85.22,3586754.8946915967,0.0453,3622606.755750868,0.8830022075055134,-0.9896702423567404
chase,A_same_ccd,2,wb_load,8,24.554,0.0046,92.48,35845482.9838013,0.0453,3622606.755750868,-89.84547461368653,889.4941792093991
chase,A_same_ccd,3,wc_ntdqa,8,17.867,0.0456,85.6,3596504.7032327587,0.0455,3599984.540368654,0.21978021978022608,-0.09666255776583989
chase,A_same_ccd,3,wb_load,8,24.58,0.0046,92.22,35970795.47505423,0.0455,3599984.540368654,-89.89010989010988,899.1930540726895
