type,profile,placement,run,mode,threads,vcore,vnode,cores,bw_gbps,ipc,l2_miss_rate,cycles,iters,cyc_per_iter,rc,victim_rc,aggressor_rc
baseline,l2hot,A_same_ccd,1,,,136,1,,,0.9965,0.0,33448356081,5325145,6281.210386008268,0,,
corun,l2hot,A_same_ccd,1,wb_load,8,136,1,"137,138,139,140,141,142,143,399",24.524,0.9932,0.0,33219121480,5271274,6301.915149923909,,0,0
corun,l2hot,A_same_ccd,1,wc_ntdqa,8,136,1,"137,138,139,140,141,142,143,399",17.875,0.9956,0.0,33428020305,5317386,6286.551381637519,,0,0
baseline,l2hot,A_same_ccd,2,,,136,1,,,0.9961,0.0,33447344635,5322926,6283.63885483285,0,,
corun,l2hot,A_same_ccd,2,wc_ntdqa,8,136,1,"137,138,139,140,141,142,143,399",17.874,0.9956,0.0,33432985711,5317828,6286.962592810448,,0,0
corun,l2hot,A_same_ccd,2,wb_load,8,136,1,"137,138,139,140,141,142,143,399",24.561,0.9923,0.0,33213652325,5265758,6307.477921507217,,0,0
baseline,l2hot,A_same_ccd,3,,,136,1,,,0.9957,0.0,33443969841,5320287,6286.121376722722,0,,
corun,l2hot,A_same_ccd,3,wb_load,8,136,1,"137,138,139,140,141,142,143,399",24.61,0.9931,0.0,33224926115,5271727,6302.474713694392,,0,0
corun,l2hot,A_same_ccd,3,wc_ntdqa,8,136,1,"137,138,139,140,141,142,143,399",17.875,0.9965,0.0,33438435026,5323510,6281.275892409331,,0,0
baseline,l2hot,A_same_ccd,4,,,136,1,,,0.9958,0.0,33456535269,5322875,6285.425689876241,0,,
corun,l2hot,A_same_ccd,4,wc_ntdqa,8,136,1,"137,138,139,140,141,142,143,399",17.873,0.9956,0.0,33435375164,5318282,6286.875190898113,,0,0
corun,l2hot,A_same_ccd,4,wb_load,8,136,1,"137,138,139,140,141,142,143,399",24.557,0.9919,0.0,33224839921,5265201,6310.270001278203,,0,0
baseline,l2hot,A_same_ccd,5,,,136,1,,,0.9963,0.0,33450655445,5324678,6282.1931100810225,0,,
corun,l2hot,A_same_ccd,5,wc_ntdqa,8,136,1,"137,138,139,140,141,142,143,399",17.877,0.9955,0.0,33432521142,5317398,6287.3836304899505,,0,0
corun,l2hot,A_same_ccd,5,wb_load,8,136,1,"137,138,139,140,141,142,143,399",24.6,0.9921,0.0,33239006075,5268387,6309.142831572548,,0,0
baseline,l2hot,B_diff_ccd_same_socket,1,,,128,1,,,0.9954,0.0,33455345281,5320479,6288.03257770588,0,,
corun,l2hot,B_diff_ccd_same_socket,1,wc_ntdqa,8,128,1,"136,137,138,139,140,141,142,143",17.829,0.9955,0.0,33382871368,5309689,6287.1613324245545,,0,0
corun,l2hot,B_diff_ccd_same_socket,1,wb_load,8,128,1,"136,137,138,139,140,141,142,143",24.904,0.9965,0.0,33378828686,5314106,6281.174798921964,,0,0
baseline,l2hot,B_diff_ccd_same_socket,2,,,128,1,,,0.9964,0.0,33458038584,5326139,6281.856065716647,0,,
corun,l2hot,B_diff_ccd_same_socket,2,wc_ntdqa,8,128,1,"136,137,138,139,140,141,142,143",17.828,0.9952,0.0,33396736633,5309981,6289.426766875437,,0,0
corun,l2hot,B_diff_ccd_same_socket,2,wb_load,8,128,1,"136,137,138,139,140,141,142,143",24.849,0.9956,0.0,33385587338,5310367,6286.870067172382,,0,0
baseline,l2hot,B_diff_ccd_same_socket,3,,,128,1,,,0.9964,0.0,33513428132,5335368,6281.371431548864,0,,
corun,l2hot,B_diff_ccd_same_socket,3,wc_ntdqa,8,128,1,"136,137,138,139,140,141,142,143",17.833,0.9964,0.0,33381103656,5314063,6281.65372823017,,0,0
corun,l2hot,B_diff_ccd_same_socket,3,wb_load,8,128,1,"136,137,138,139,140,141,142,143",24.87,0.9965,0.0,33367851984,5312684,6280.789895277039,,0,0
baseline,l2hot,B_diff_ccd_same_socket,4,,,128,1,,,0.9965,0.0,33446064829,5324880,6281.092687346945,0,,
corun,l2hot,B_diff_ccd_same_socket,4,wc_ntdqa,8,128,1,"136,137,138,139,140,141,142,143",17.828,0.9953,0.0,33393288908,5310373,6288.313251818658,,0,0
corun,l2hot,B_diff_ccd_same_socket,4,wb_load,8,128,1,"136,137,138,139,140,141,142,143",24.848,0.9957,0.0,33367837313,5308144,6286.159025263821,,0,0
baseline,l2hot,B_diff_ccd_same_socket,5,,,128,1,,,0.9957,0.0,33442829960,5319958,6286.2958617342465,0,,
corun,l2hot,B_diff_ccd_same_socket,5,wc_ntdqa,8,128,1,"136,137,138,139,140,141,142,143",17.834,0.9951,0.0,33385977069,5307666,6290.142798925177,,0,0
corun,l2hot,B_diff_ccd_same_socket,5,wb_load,8,128,1,"136,137,138,139,140,141,142,143",24.813,0.9959,0.0,33370496262,5309907,6284.572641667735,,0,0
baseline,l2hot,C_diff_socket,1,,,0,0,,,0.9958,0.0,33464986230,5324154,6285.503054569796,0,,
corun,l2hot,C_diff_socket,1,wb_load,8,0,0,"136,137,138,139,140,141,142,143",24.829,0.9957,0.0,33434896939,5318830,6286.137541338979,,0,0
corun,l2hot,C_diff_socket,1,wc_ntdqa,8,0,0,"136,137,138,139,140,141,142,143",17.834,0.9958,0.0,33429291982,5318308,6285.700636743867,,0,0
baseline,l2hot,C_diff_socket,2,,,0,0,,,0.9948,0.0,33452320649,5316842,6291.765045679372,0,,
corun,l2hot,C_diff_socket,2,wb_load,8,0,0,"136,137,138,139,140,141,142,143",24.82,0.9966,0.0,33424547097,5321920,6280.542942584631,,0,0
corun,l2hot,C_diff_socket,2,wc_ntdqa,8,0,0,"136,137,138,139,140,141,142,143",17.834,0.9965,0.0,33425176366,5321535,6281.115573983822,,0,0
baseline,l2hot,C_diff_socket,3,,,0,0,,,0.9957,0.0,33461883358,5323047,6286.227297636109,0,,
corun,l2hot,C_diff_socket,3,wb_load,8,0,0,"136,137,138,139,140,141,142,143",24.898,0.9956,0.0,33423678863,5316809,6286.417071405048,,0,0
corun,l2hot,C_diff_socket,3,wc_ntdqa,8,0,0,"136,137,138,139,140,141,142,143",17.848,0.9927,0.0,33423339636,5301150,6304.922448148043,,0,0
baseline,l2hot,C_diff_socket,4,,,0,0,,,0.9944,0.0,33468154432,5317394,6294.089629619321,0,,
corun,l2hot,C_diff_socket,4,wc_ntdqa,8,0,0,"136,137,138,139,140,141,142,143",17.832,0.9927,0.0,33417134813,5300274,6304.793830092557,,0,0
corun,l2hot,C_diff_socket,4,wb_load,8,0,0,"136,137,138,139,140,141,142,143",24.874,0.9965,0.0,33429082654,5322405,6280.822796085604,,0,0
baseline,l2hot,C_diff_socket,5,,,0,0,,,0.9953,0.0,33457168606,5320052,6288.879997037623,0,,
corun,l2hot,C_diff_socket,5,wc_ntdqa,8,0,0,"136,137,138,139,140,141,142,143",17.834,0.9966,0.0,33416279217,5320726,6280.398430026278,,0,0
corun,l2hot,C_diff_socket,5,wb_load,8,0,0,"136,137,138,139,140,141,142,143",24.836,0.9954,0.0,33419511126,5314801,6288.007984870929,,0,0
baseline,l2hot,D_both_sockets,1,,,0,0,,,0.9957,0.0,33456065170,5322143,6286.2018495181355,0,,
corun,l2hot,D_both_sockets,1,wb_load,8,0,0,"16,17,18,19,136,137,138,139",25.122,0.9966,0.0,33431911163,5323221,6280.391357600971,,0,0
corun,l2hot,D_both_sockets,1,wc_ntdqa,8,0,0,"16,17,18,19,136,137,138,139",24.558,0.9965,0.0,33419465246,5320563,6281.189649666774,,0,0
baseline,l2hot,D_both_sockets,2,,,0,0,,,0.9964,0.0,33455571276,5325988,6281.570907782744,0,,
corun,l2hot,D_both_sockets,2,wc_ntdqa,8,0,0,"16,17,18,19,136,137,138,139",24.55,0.9958,0.0,33428688780,5318464,6285.4028493941105,,0,0
corun,l2hot,D_both_sockets,2,wb_load,8,0,0,"16,17,18,19,136,137,138,139",25.131,0.9957,0.0,33431457242,5318584,6285.781561784114,,0,0
baseline,l2hot,D_both_sockets,3,,,0,0,,,0.9965,0.0,33463546203,5327842,6280.881866053835,0,,
corun,l2hot,D_both_sockets,3,wb_load,8,0,0,"16,17,18,19,136,137,138,139",25.134,0.9956,0.0,33428462240,5317444,6286.565921521694,,0,0
corun,l2hot,D_both_sockets,3,wc_ntdqa,8,0,0,"16,17,18,19,136,137,138,139",24.539,0.9964,0.0,33426587260,5321290,6281.669907108991,,0,0
baseline,l2hot,D_both_sockets,4,,,0,0,,,0.9942,0.0,33457164860,5314591,6295.34142138125,0,,
corun,l2hot,D_both_sockets,4,wc_ntdqa,8,0,0,"16,17,18,19,136,137,138,139",24.547,0.9965,0.0,33429389706,5322567,6280.689318894436,,0,0
corun,l2hot,D_both_sockets,4,wb_load,8,0,0,"16,17,18,19,136,137,138,139",25.128,0.9964,0.0,33432575194,5322528,6281.333831217045,,0,0
baseline,l2hot,D_both_sockets,5,,,0,0,,,0.9951,0.0,33460393362,5319764,6289.826646821175,0,,
corun,l2hot,D_both_sockets,5,wb_load,8,0,0,"16,17,18,19,136,137,138,139",25.137,0.9954,0.0,33431221071,5316721,6287.939704001771,,0,0
corun,l2hot,D_both_sockets,5,wc_ntdqa,8,0,0,"16,17,18,19,136,137,138,139",24.556,0.9957,0.0,33429756269,5318058,6286.083429138983,,0,0
baseline,chase,A_same_ccd,1,,,136,1,,,0.0441,87.18,33383053093,8981,3717075.280369669,0,,
corun,chase,A_same_ccd,1,wc_ntdqa,8,136,1,"137,138,139,140,141,142,143,399",17.869,0.0446,85.14,33389823625,9082,3676483.552631579,,0,0
corun,chase,A_same_ccd,1,wb_load,8,136,1,"137,138,139,140,141,142,143,399",24.566,0.0045,93.4,33169113945,905,36650954.635359116,,0,0
baseline,chase,A_same_ccd,2,,,136,1,,,0.0453,87.24,33385943861,9216,3622606.755750868,0,,
corun,chase,A_same_ccd,2,wc_ntdqa,8,136,1,"137,138,139,140,141,142,143,399",17.869,0.0457,85.22,33378341050,9306,3586754.8946915967,,0,0
corun,chase,A_same_ccd,2,wb_load,8,136,1,"137,138,139,140,141,142,143,399",24.554,0.0046,92.48,33192917243,926,35845482.9838013,,0,0
baseline,chase,A_same_ccd,3,,,136,1,,,0.0455,86.29,33397056581,9277,3599984.540368654,0,,
corun,chase,A_same_ccd,3,wc_ntdqa,8,136,1,"137,138,139,140,141,142,143,399",17.867,0.0456,85.6,33375563646,9280,3596504.7032327587,,0,0
corun,chase,A_same_ccd,3,wb_load,8,136,1,"137,138,139,140,141,142,143,399",24.58,0.0046,92.22,33165073428,922,35970795.47505423,,0,0
baseline,chase,A_same_ccd,4,,,136,1,,,0.0447,85.24,33385418803,9112,3663895.83000439,0,,
corun,chase,A_same_ccd,4,wc_ntdqa,8,136,1,"137,138,139,140,141,142,143,399",17.876,0.0453,86.68,33382266760,9218,3621421.865914515,,0,0
corun,chase,A_same_ccd,4,wb_load,8,136,1,"137,138,139,140,141,142,143,399",24.574,0.0045,93.27,33200217106,920,36087192.50652174,,0,0
baseline,chase,A_same_ccd,5,,,136,1,,,0.0449,88.35,33391737310,9153,3648174.075166612,0,,
corun,chase,A_same_ccd,5,wb_load,8,136,1,"137,138,139,140,141,142,143,399",24.587,0.0045,92.61,33197982327,920,36084763.39891304,,0,0
corun,chase,A_same_ccd,5,wc_ntdqa,8,136,1,"137,138,139,140,141,142,143,399",17.88,0.0448,88.39,33391391919,9121,3660935.414866791,,0,0
baseline,chase,B_diff_ccd_same_socket,1,,,128,1,,,0.0456,86.28,33397364041,9280,3598853.8837284483,0,,
corun,chase,B_diff_ccd_same_socket,1,wb_load,8,128,1,"136,137,138,139,140,141,142,143",24.887,0.0353,99.12,33331482133,7174,4646150.283384444,,0,0
corun,chase,B_diff_ccd_same_socket,1,wc_ntdqa,8,128,1,"136,137,138,139,140,141,142,143",17.829,0.0453,86.72,33353328743,9217,3618675.1375718783,,0,0
baseline,chase,B_diff_ccd_same_socket,2,,,128,1,,,0.0453,87.24,33391510168,9219,3622031.6919405577,0,,
corun,chase,B_diff_ccd_same_socket,2,wb_load,8,128,1,"136,137,138,139,140,141,142,143",24.915,0.0353,99.23,33325412681,7176,4644009.5709308805,,0,0
corun,chase,B_diff_ccd_same_socket,2,wc_ntdqa,8,128,1,"136,137,138,139,140,141,142,143",17.822,0.0452,87.28,33358312804,9187,3631034.375095243,,0,0
baseline,chase,B_diff_ccd_same_socket,3,,,128,1,,,0.0456,86.27,33396641372,9279,3599163.8508459963,0,,
corun,chase,B_diff_ccd_same_socket,3,wb_load,8,128,1,"136,137,138,139,140,141,142,143",24.919,0.0353,99.24,33332709182,7172,4647617.0080870055,,0,0
corun,chase,B_diff_ccd_same_socket,3,wc_ntdqa,8,128,1,"136,137,138,139,140,141,142,143",17.827,0.0454,86.32,33342092284,9237,3609623.5015697735,,0,0
baseline,chase,B_diff_ccd_same_socket,4,,,128,1,,,0.0448,88.77,33387396470,9130,3656888.9890470975,0,,
corun,chase,B_diff_ccd_same_socket,4,wc_ntdqa,8,128,1,"136,137,138,139,140,141,142,143",17.823,0.0456,85.81,33346635091,9271,3596875.751375256,,0,0
corun,chase,B_diff_ccd_same_socket,4,wb_load,8,128,1,"136,137,138,139,140,141,142,143",24.869,0.0352,99.16,33325899994,7160,4654455.306424581,,0,0
baseline,chase,B_diff_ccd_same_socket,5,,,128,1,,,0.0457,85.72,33383127644,9306,3587269.2503761016,0,,
corun,chase,B_diff_ccd_same_socket,5,wc_ntdqa,8,128,1,"136,137,138,139,140,141,142,143",17.827,0.0458,85.05,33335019889,9311,3580176.1238320265,,0,0
corun,chase,B_diff_ccd_same_socket,5,wb_load,8,128,1,"136,137,138,139,140,141,142,143",24.893,0.0353,99.2,33324871287,7180,4641346.975905293,,0,0
baseline,chase,C_diff_socket,1,,,0,0,,,0.0453,87.15,33399085629,9227,3619712.3256746503,0,,
corun,chase,C_diff_socket,1,wb_load,8,0,0,"136,137,138,139,140,141,142,143",24.861,0.0446,86.05,33375368187,9079,3676106.199691596,,0,0
corun,chase,C_diff_socket,1,wc_ntdqa,8,0,0,"136,137,138,139,140,141,142,143",17.833,0.0448,85.15,33366897921,9121,3658249.963929394,,0,0
baseline,chase,C_diff_socket,2,,,0,0,,,0.0446,85.71,33394991624,9087,3675029.3412567405,0,,
corun,chase,C_diff_socket,2,wb_load,8,0,0,"136,137,138,139,140,141,142,143",24.779,0.045,84.63,33376747299,9161,3643351.959283921,,0,0
corun,chase,C_diff_socket,2,wc_ntdqa,8,0,0,"136,137,138,139,140,141,142,143",17.821,0.0443,86.58,33374948961,9026,3697645.5751163308,,0,0
baseline,chase,C_diff_socket,3,,,0,0,,,0.0461,84.59,33398100368,9381,3560185.5205202005,0,,
corun,chase,C_diff_socket,3,wb_load,8,0,0,"136,137,138,139,140,141,142,143",24.848,0.0444,86.32,33376830371,9042,3691310.591793851,,0,0
corun,chase,C_diff_socket,3,wc_ntdqa,8,0,0,"136,137,138,139,140,141,142,143",17.822,0.0461,84.63,33370180614,9377,3558726.737122747,,0,0
baseline,chase,C_diff_socket,4,,,0,0,,,0.0459,85.21,33404828391,9345,3574620.4805778493,0,,
corun,chase,C_diff_socket,4,wc_ntdqa,8,0,0,"136,137,138,139,140,141,142,143",17.835,0.0461,84.54,33369651453,9379,3557911.446102996,,0,0
corun,chase,C_diff_socket,4,wb_load,8,0,0,"136,137,138,139,140,141,142,143",24.769,0.0457,85.68,33377612752,9310,3585135.633941998,,0,0
baseline,chase,C_diff_socket,5,,,0,0,,,0.046,84.66,33403010544,9378,3561848.0,0,,
corun,chase,C_diff_socket,5,wb_load,8,0,0,"136,137,138,139,140,141,142,143",24.837,0.0448,85.07,33376365903,9122,3658886.856281517,,0,0
corun,chase,C_diff_socket,5,wc_ntdqa,8,0,0,"136,137,138,139,140,141,142,143",17.835,0.0446,85.69,33368543143,9082,3674140.4033252588,,0,0
baseline,chase,D_both_sockets,1,,,0,0,,,0.0459,85.14,33403651388,9349,3572965.1714621885,0,,
corun,chase,D_both_sockets,1,wc_ntdqa,8,0,0,"16,17,18,19,136,137,138,139",24.519,0.0459,85.15,33374069640,9341,3572858.3278021626,,0,0
corun,chase,D_both_sockets,1,wb_load,8,0,0,"16,17,18,19,136,137,138,139",25.09,0.045,84.59,33357269362,9158,3642418.5806944747,,0,0
