profile,placement,mode,n,bw_mean,bw_sd,delta_ipc_mean_pct,delta_ipc_sd_pct,delta_cpi_mean_pct,delta_cpi_sd_pct
chase,A_same_ccd,wb_load,5,24.572,0.013,-89.888,0.071,889.752,5.628
chase,A_same_ccd,wc_ntdqa,5,17.872,0.006,0.671,0.654,-0.598,0.682
chase,B_diff_ccd_same_socket,wb_load,5,24.897,0.021,-22.287,0.544,28.622,0.871
chase,B_diff_ccd_same_socket,wc_ntdqa,5,17.826,0.003,0.137,0.977,-0.150,0.876
chase,C_diff_socket,wb_load,5,24.819,0.042,-1.476,1.795,1.480,1.823
chase,C_diff_socket,wc_ntdqa,5,17.829,0.007,-0.877,1.349,0.865,1.408
chase,D_both_sockets,wb_load,5,25.110,0.015,1.579,2.211,-1.501,2.125
chase,D_both_sockets,wc_ntdqa,5,24.525,0.010,1.081,1.445,-1.025,1.362
l2hot,A_same_ccd,wb_load,5,24.570,0.035,-0.357,0.063,0.359,0.066
l2hot,A_same_ccd,wc_ntdqa,5,17.875,0.001,-0.032,0.069,0.033,0.067
l2hot,B_diff_ccd_same_socket,wb_load,5,24.857,0.033,-0.004,0.080,0.003,0.080
l2hot,B_diff_ccd_same_socket,wc_ntdqa,5,17.830,0.003,-0.058,0.063,0.057,0.062
l2hot,C_diff_socket,wb_load,5,24.851,0.033,0.076,0.110,-0.078,0.107
l2hot,C_diff_socket,wc_ntdqa,5,17.836,0.007,-0.034,0.200,0.033,0.199
l2hot,D_both_sockets,wb_load,5,25.130,0.006,0.036,0.127,-0.037,0.127
l2hot,D_both_sockets,wc_ntdqa,5,24.550,0.008,0.060,0.111,-0.060,0.112
