placement,mode,threads,run,bw_gbps
A,wb_load,8,1,24.535
A,wb_load,8,2,24.510
A,wb_load,8,3,24.536
A,wc_ntdqa,8,1,17.874
A,wc_ntdqa,8,2,17.873
A,wc_ntdqa,8,3,17.876
A,wc_ntdqa,9,1,17.883
A,wc_ntdqa,9,2,17.874
A,wc_ntdqa,9,3,17.874
A,wc_ntdqa,10,1,17.817
A,wc_ntdqa,10,2,17.826
A,wc_ntdqa,10,3,17.881
A,wc_ntdqa,11,1,17.878
A,wc_ntdqa,11,2,17.878
A,wc_ntdqa,11,3,17.878
A,wc_ntdqa,12,1,17.876
A,wc_ntdqa,12,2,17.884
A,wc_ntdqa,12,3,17.882
B,wb_load,8,1,24.815
B,wb_load,8,2,24.790
B,wb_load,8,3,24.848
B,wc_ntdqa,8,1,17.832
B,wc_ntdqa,8,2,17.841
B,wc_ntdqa,8,3,17.834
B,wc_ntdqa,9,1,20.965
B,wc_ntdqa,9,2,20.957
B,wc_ntdqa,9,3,20.925
B,wc_ntdqa,10,1,23.875
B,wc_ntdqa,10,2,23.902
B,wc_ntdqa,10,3,23.871
B,wc_ntdqa,11,1,24.779
B,wc_ntdqa,11,2,24.853
B,wc_ntdqa,11,3,24.764
B,wc_ntdqa,12,1,24.930
B,wc_ntdqa,12,2,24.926
B,wc_ntdqa,12,3,24.903
C,wb_load,8,1,24.750
C,wb_load,8,2,24.843
C,wb_load,8,3,24.754
C,wc_ntdqa,8,1,17.839
C,wc_ntdqa,8,2,17.850
C,wc_ntdqa,8,3,17.840
C,wc_ntdqa,9,1,20.956
C,wc_ntdqa,9,2,20.950
C,wc_ntdqa,9,3,20.928
C,wc_ntdqa,10,1,23.890
C,wc_ntdqa,10,2,23.866
C,wc_ntdqa,10,3,23.871
C,wc_ntdqa,11,1,24.827
C,wc_ntdqa,11,2,24.846
C,wc_ntdqa,11,3,24.776
C,wc_ntdqa,12,1,24.908
C,wc_ntdqa,12,2,24.938
C,wc_ntdqa,12,3,24.926
D,wb_load,8,1,25.094
D,wb_load,8,2,25.124
D,wb_load,8,3,25.093
D,wc_ntdqa,8,1,24.562
D,wc_ntdqa,8,2,24.570
D,wc_ntdqa,8,3,24.588
D,wc_ntdqa,9,1,24.472
D,wc_ntdqa,9,2,24.555
D,wc_ntdqa,9,3,24.512
D,wc_ntdqa,10,1,24.516
D,wc_ntdqa,10,2,24.488
D,wc_ntdqa,10,3,24.537
D,wc_ntdqa,11,1,24.676
D,wc_ntdqa,11,2,24.603
D,wc_ntdqa,11,3,24.542
D,wc_ntdqa,12,1,24.652
D,wc_ntdqa,12,2,24.626
D,wc_ntdqa,12,3,24.636
