placement,mode,threads,mean_bw_gbps,sd_bw_gbps,n
A,wb_load,8,24.527,0.015,3
A,wc_ntdqa,8,17.874,0.002,3
A,wc_ntdqa,9,17.877,0.005,3
A,wc_ntdqa,10,17.841,0.035,3
A,wc_ntdqa,11,17.878,0.000,3
A,wc_ntdqa,12,17.881,0.004,3
B,wb_load,8,24.818,0.029,3
B,wc_ntdqa,8,17.836,0.005,3
B,wc_ntdqa,9,20.949,0.021,3
B,wc_ntdqa,10,23.883,0.017,3
B,wc_ntdqa,11,24.799,0.048,3
B,wc_ntdqa,12,24.920,0.015,3
C,wb_load,8,24.782,0.053,3
C,wc_ntdqa,8,17.843,0.006,3
C,wc_ntdqa,9,20.945,0.015,3
C,wc_ntdqa,10,23.876,0.013,3
C,wc_ntdqa,11,24.816,0.036,3
C,wc_ntdqa,12,24.924,0.015,3
D,wb_load,8,25.104,0.018,3
D,wc_ntdqa,8,24.573,0.013,3
D,wc_ntdqa,9,24.513,0.042,3
D,wc_ntdqa,10,24.514,0.025,3
D,wc_ntdqa,11,24.607,0.067,3
D,wc_ntdqa,12,24.638,0.013,3
