profile,placement,run,mode,threads,bw_gbps,delta_ipc_pct,delta_cpi_pct
l2hot,A_same_ccd,1,wb_load,1,15.829,0.08035355564482843,-0.08145216336386084
l2hot,A_same_ccd,1,wc_ntdqa,12,17.852,0.0,0.001549037543657242
l2hot,A_same_ccd,2,wc_ntdqa,12,17.865,0.030132583366810663,-0.025499904432950166
l2hot,A_same_ccd,2,wb_load,1,15.83,-0.030132583366821813,0.03766033298437857
l2hot,A_same_ccd,3,wc_ntdqa,12,17.87,0.030123506376138864,-0.0350628914139277
l2hot,A_same_ccd,3,wb_load,1,15.83,0.06024701275228888,-0.05964130358886111
l2hot,A_same_ccd,4,wc_ntdqa,12,17.863,-0.31108881083794304,0.3067035474902949
l2hot,A_same_ccd,4,wb_load,1,15.831,0.02007024586050958,-0.02511135347504141
l2hot,A_same_ccd,5,wc_ntdqa,12,17.851,0.08035355564482843,-0.08345073585360287
l2hot,A_same_ccd,5,wb_load,1,15.828,0.010044194455603554,-0.010863790694417822
l2hot,B_diff_ccd_same_socket,1,wc_ntdqa,11,24.821,-0.33115905669845264,0.33057221011903365
l2hot,B_diff_ccd_same_socket,1,wb_load,8,24.894,-0.16056196688409893,0.16333835668340296
l2hot,B_diff_ccd_same_socket,2,wb_load,8,24.877,0.020074274816831175,-0.015403350235002746
l2hot,B_diff_ccd_same_socket,2,wc_ntdqa,11,24.821,-0.2007427481682226,0.2023214958915473
l2hot,B_diff_ccd_same_socket,3,wb_load,8,24.899,0.0,-0.0066389758146119795
l2hot,B_diff_ccd_same_socket,3,wc_ntdqa,11,24.842,0.0,-0.0012908534008273325
l2hot,B_diff_ccd_same_socket,4,wb_load,8,24.861,-0.02008838891121826,0.018827637518513365
l2hot,B_diff_ccd_same_socket,4,wc_ntdqa,11,24.789,0.0,0.006803598106540015
l2hot,B_diff_ccd_same_socket,5,wb_load,8,24.894,-0.020086371397004917,0.015943037353044122
l2hot,B_diff_ccd_same_socket,5,wc_ntdqa,11,24.794,-0.03012955709551853,0.025327809021880754
l2hot,C_diff_socket,1,wb_load,8,24.901,0.10044194455604669,-0.0920359387232621
l2hot,C_diff_socket,1,wc_ntdqa,11,24.787,0.09039775010044314,-0.08815517750597314
l2hot,C_diff_socket,2,wb_load,8,24.76,0.08034548558803083,-0.08456095153804273
l2hot,C_diff_socket,2,wc_ntdqa,11,24.809,0.09038867128653329,-0.0852979366986241
l2hot,C_diff_socket,3,wb_load,8,24.813,0.01003512293025479,-0.005331250307179233
l2hot,C_diff_socket,3,wc_ntdqa,11,24.786,-0.02007024586052072,0.01588777004535998
l2hot,C_diff_socket,4,wc_ntdqa,11,24.798,-0.030132583366821813,0.03634225042636055
l2hot,C_diff_socket,4,wb_load,8,24.819,0.09039775010044314,-0.0856535744285351
l2hot,C_diff_socket,5,wc_ntdqa,11,24.802,0.08028098344203832,-0.07179725331391998
l2hot,C_diff_socket,5,wb_load,8,24.839,0.01003512293025479,-0.0016820169316897366
l2hot,D_both_sockets,1,wb_load,8,25.137,-0.09030704394942925,0.08690656174485158
l2hot,D_both_sockets,1,wc_ntdqa,12,24.673,-0.12040939193257975,0.12085384520478913
l2hot,D_both_sockets,2,wc_ntdqa,12,24.689,-0.09030704394942925,0.0837074920466216
l2hot,D_both_sockets,2,wb_load,8,25.112,-0.01003411599437979,0.0027079514366821914
l2hot,D_both_sockets,3,wb_load,8,25.118,0.08035355564482843,-0.07636584797766377
l2hot,D_both_sockets,3,wc_ntdqa,12,24.617,-0.11048613901165025,0.11162833285701623
l2hot,D_both_sockets,4,wb_load,8,25.133,0.2011060834590248,-0.20559770778702124
l2hot,D_both_sockets,4,wc_ntdqa,12,24.568,0.21116138763197492,-0.20877283952670941
l2hot,D_both_sockets,5,wb_load,8,25.139,0.13073209975865638,-0.129074155551844
l2hot,D_both_sockets,5,wc_ntdqa,12,24.557,0.13073209975865638,-0.1272963027619431
chase,A_same_ccd,1,wb_load,1,15.816,-73.54260089686099,279.44793436670636
chase,A_same_ccd,1,wc_ntdqa,12,17.849,1.7937219730941751,-1.718798420157784
chase,A_same_ccd,2,wc_ntdqa,12,17.84,1.3363028953229317,-1.3364846524923304
chase,A_same_ccd,2,wb_load,1,15.819,-73.2739420935412,273.8965242120617
chase,A_same_ccd,3,wc_ntdqa,12,17.844,-1.7505470459518495,1.8944545510318471
chase,A_same_ccd,3,wb_load,1,15.817,-74.17943107221008,288.1010346221722
chase,A_same_ccd,4,wb_load,1,15.819,-74.44444444444444,290.5412151437238
chase,A_same_ccd,4,wc_ntdqa,12,17.841,1.7777777777777826,-1.6986921109501885
chase,A_same_ccd,5,wc_ntdqa,12,17.827,-0.6756756756756793,0.7889430799136586
chase,A_same_ccd,5,wb_load,1,15.818,-72.74774774774775,268.491178229357
chase,B_diff_ccd_same_socket,1,wc_ntdqa,11,24.821,-4.405286343612339,4.4994704985605605
chase,B_diff_ccd_same_socket,1,wb_load,8,24.85,-22.246696035242298,28.752519821363343
chase,B_diff_ccd_same_socket,2,wc_ntdqa,11,24.793,-2.173913043478263,2.3324850188662545
chase,B_diff_ccd_same_socket,2,wb_load,8,24.805,-23.478260869565208,30.842475122084483
chase,B_diff_ccd_same_socket,3,wc_ntdqa,11,24.797,-1.5452538631346562,1.4261032123224135
chase,B_diff_ccd_same_socket,3,wb_load,8,24.864,-22.295805739514343,28.56899583161401
