type,profile,placement,run,mode,threads,bw_gbps,ipc,l2_miss_rate,cycles,iters,cyc_per_iter
baseline,l2hot,A_same_ccd,1,,,,0.9956,0.0,33440085676,5319238,6286.630843741153
corun,l2hot,A_same_ccd,1,wb_load,1,15.829,0.9964,0.0,33417270186,5319942,6281.510246916226
corun,l2hot,A_same_ccd,1,wc_ntdqa,12,17.852,0.9956,0.0,33431431339,5317779,6286.728226013153
baseline,l2hot,A_same_ccd,2,,,,0.9956,0.0,33459734237,5322535,6286.428222078389
corun,l2hot,A_same_ccd,2,wc_ntdqa,12,17.865,0.9959,0.0,33439688237,5320703,6284.825188889513
corun,l2hot,A_same_ccd,2,wb_load,1,15.83,0.9953,0.0,33422075229,5314543,6288.795711879648
baseline,l2hot,A_same_ccd,3,,,,0.9959,0.0,33454434027,5322872,6285.034475185576
corun,l2hot,A_same_ccd,3,wc_ntdqa,12,17.87,0.9962,0.0,33432425224,5321236,6282.830760372214
corun,l2hot,A_same_ccd,3,wb_load,1,15.83,0.9965,0.0,33415342288,5319825,6281.285998693566
baseline,l2hot,A_same_ccd,4,,,,0.9965,0.0,33459755840,5327100,6281.045191567645
corun,l2hot,A_same_ccd,4,wc_ntdqa,12,17.863,0.9934,0.0,33437216152,5307234,6300.3093799896515
corun,l2hot,A_same_ccd,4,wb_load,1,15.831,0.9967,0.0,33417852681,5321765,6279.467936107663
baseline,l2hot,A_same_ccd,5,,,,0.9956,0.0,33447111294,5320112,6286.91863893091
corun,l2hot,A_same_ccd,5,wc_ntdqa,12,17.851,0.9964,0.0,33412905198,5319110,6281.672159064205
corun,l2hot,A_same_ccd,5,wb_load,1,15.828,0.9957,0.0,33405973988,5314146,6286.235641248848
baseline,l2hot,B_diff_ccd_same_socket,1,,,,0.9965,0.0,33452187074,5326056,6280.8553034365395
corun,l2hot,B_diff_ccd_same_socket,1,wc_ntdqa,11,24.821,0.9932,0.0,33377288882,5296622,6301.618065627488
corun,l2hot,B_diff_ccd_same_socket,1,wb_load,8,24.894,0.9949,0.0,33366994728,5303829,6291.114349274835
baseline,l2hot,B_diff_ccd_same_socket,2,,,,0.9963,0.0,33439069114,5322842,6282.183298696448
corun,l2hot,B_diff_ccd_same_socket,2,wb_load,8,24.877,0.9965,0.0,33357947074,5310747,6281.215632000545
corun,l2hot,B_diff_ccd_same_socket,2,wc_ntdqa,11,24.821,0.9943,0.0,33386956895,5303816,6294.89350592102
baseline,l2hot,B_diff_ccd_same_socket,3,,,,0.9964,0.0,33456703922,5326010,6281.757623812197
