profile,placement,mode,threads,n,bw_mean,bw_sd,delta_ipc_mean_pct,delta_ipc_sd_pct,delta_cpi_mean_pct,delta_cpi_sd_pct
chase,A_same_ccd,wb_load,1,5,15.818,0.001,-73.638,0.685,280.096,9.310
chase,A_same_ccd,wc_ntdqa,12,5,17.840,0.008,0.496,1.617,-0.414,1.657
chase,B_diff_ccd_same_socket,wb_load,8,5,24.861,0.037,-22.365,0.661,28.854,1.191
chase,B_diff_ccd_same_socket,wc_ntdqa,11,5,24.801,0.013,-1.226,2.324,1.281,2.345
chase,C_diff_socket,wb_load,8,5,24.812,0.030,-0.593,2.181,0.602,2.185
chase,C_diff_socket,wc_ntdqa,11,5,24.817,0.007,-0.023,1.765,-0.020,1.677
chase,D_both_sockets,wb_load,8,5,25.137,0.010,-0.833,0.869,0.877,0.929
chase,D_both_sockets,wc_ntdqa,12,5,24.597,0.076,-0.829,1.946,0.830,1.944
l2hot,A_same_ccd,wb_load,1,5,15.830,0.001,0.028,0.043,-0.028,0.046
l2hot,A_same_ccd,wc_ntdqa,12,5,17.860,0.008,-0.034,0.158,0.033,0.156
l2hot,B_diff_ccd_same_socket,wb_load,8,5,24.885,0.016,-0.036,0.072,0.035,0.073
l2hot,B_diff_ccd_same_socket,wc_ntdqa,11,5,24.813,0.022,-0.112,0.148,0.113,0.148
l2hot,C_diff_socket,wb_load,8,5,24.826,0.051,0.058,0.045,-0.054,0.046
l2hot,C_diff_socket,wc_ntdqa,11,5,24.796,0.010,0.042,0.062,-0.039,0.060
l2hot,D_both_sockets,wb_load,8,5,25.128,0.012,0.062,0.115,-0.064,0.114
l2hot,D_both_sockets,wc_ntdqa,12,5,24.621,0.060,0.004,0.155,-0.004,0.153
