profile,placement,run,mode,threads,bw_gbps,ipc,l2_miss_rate,cyc_per_iter,base_ipc,base_cpi,delta_ipc_pct,delta_cpi_pct
l2hot,A_same_ccd,1,wb_load,8,24.627,0.994,0.0,6296.742335200418,0.9951,6290.044290418338,-0.11054165410511405,0.1064864486293503
l2hot,A_same_ccd,1,wc_ntdqa,8,17.87,0.9965,0.0,6280.999182951293,0.9951,6290.044290418338,0.14068937795197145,-0.14380037801679585
l2hot,B_diff_ccd_same_socket,1,wc_ntdqa,8,17.797,0.9956,0.0,6286.947262548067,0.9956,6286.56621694154,0.0,0.006061267683775742
l2hot,B_diff_ccd_same_socket,1,wb_load,8,24.556,0.9953,0.0,6288.429199284261,0.9956,6286.56621694154,-0.030132583366821813,0.02963433897666399
l2hot,C_diff_socket,1,wc_ntdqa,8,17.793,0.9958,0.0,6285.57762899379,0.9963,6282.169753851354,-0.05018568704205008,0.05424678536181732
l2hot,C_diff_socket,1,wb_load,8,24.855,0.9948,0.0,6291.831332848909,0.9963,6282.169753851354,-0.15055706112616138,0.15379366327426394
l2hot,D_both_sockets,1,wc_ntdqa,8,24.188,0.9965,0.0,6281.212645329997,0.9966,6280.457974027145,-0.01003411599437979,0.012016182672876336
l2hot,D_both_sockets,1,wb_load,8,25.079,0.9958,0.0,6285.681869380496,0.9966,6280.457974027145,-0.08027292795504945,0.08317698127994719
chase,A_same_ccd,1,wc_ntdqa,8,17.878,0.0448,88.36,3660553.7912900574,0.0447,3670859.1276771007,0.2237136465324449,-0.28073363832854337
chase,A_same_ccd,1,wb_load,8,24.482,0.0157,86.13,10472893.903301887,0.0447,3670859.1276771007,-64.87695749440716,185.29816969383612
chase,B_diff_ccd_same_socket,1,wb_load,8,24.533,0.0376,95.55,4359915.862745098,0.0453,3621088.334687246,-16.99779249448123,20.40346602374903
chase,B_diff_ccd_same_socket,1,wc_ntdqa,8,17.788,0.0452,86.71,3623921.4275244297,0.0453,3621088.334687246,-0.220750551876386,0.07823871099870396
chase,C_diff_socket,1,wb_load,8,24.838,0.0461,84.58,3559884.959232614,0.0448,3656451.3908045976,2.90178571428572,-2.6409877023070285
chase,C_diff_socket,1,wc_ntdqa,8,17.802,0.0459,85.16,3572631.3558232933,0.0448,3656451.3908045976,2.4553571428571512,-2.2923875097067765
chase,D_both_sockets,1,wb_load,8,25.121,0.0459,85.15,3572074.5718875504,0.045,3643743.3777596075,2.000000000000011,-1.9669004768421257
chase,D_both_sockets,1,wc_ntdqa,8,24.404,0.0456,86.08,3594125.536723164,0.045,3643743.3777596075,1.3333333333333408,-1.3617271001930886
