type,profile,placement,run,mode,threads,vcore,vnode,cores,bw_gbps,ipc,l2_miss_rate,cycles,iters,cyc_per_iter,rc,victim_rc,aggressor_rc
baseline,l2hot,A_same_ccd,1,,,136,1,,,0.9951,0.0,4460364757,709115,6290.044290418338,0,,
corun,l2hot,A_same_ccd,1,wb_load,8,136,1,"137,138,139,140,141,142,143,399",24.627,0.994,0.0,4433712587,704128,6296.742335200418,,0,0
corun,l2hot,A_same_ccd,1,wc_ntdqa,8,136,1,"137,138,139,140,141,142,143,399",17.87,0.9965,0.0,4458705452,709872,6280.999182951293,,0,0
baseline,l2hot,B_diff_ccd_same_socket,1,,,128,1,,,0.9956,0.0,4462462450,709841,6286.56621694154,0,,
corun,l2hot,B_diff_ccd_same_socket,1,wc_ntdqa,8,128,1,"136,137,138,139,140,141,142,143",17.797,0.9956,0.0,4453648293,708396,6286.947262548067,,0,0
corun,l2hot,B_diff_ccd_same_socket,1,wb_load,8,128,1,"136,137,138,139,140,141,142,143",24.556,0.9953,0.0,4452704659,708079,6288.429199284261,,0,0
baseline,l2hot,C_diff_socket,1,,,0,0,,,0.9963,0.0,4461220029,710140,6282.169753851354,0,,
corun,l2hot,C_diff_socket,1,wc_ntdqa,8,0,0,"136,137,138,139,140,141,142,143",17.793,0.9958,0.0,4456518538,709007,6285.57762899379,,0,0
corun,l2hot,C_diff_socket,1,wb_load,8,0,0,"136,137,138,139,140,141,142,143",24.855,0.9948,0.0,4459303998,708745,6291.831332848909,,0,0
baseline,l2hot,D_both_sockets,1,,,0,0,,,0.9966,0.0,4459432904,710049,6280.457974027145,0,,
corun,l2hot,D_both_sockets,1,wc_ntdqa,8,0,0,"16,17,18,19,136,137,138,139",24.188,0.9965,0.0,4458178612,709764,6281.212645329997,,0,0
corun,l2hot,D_both_sockets,1,wb_load,8,0,0,"16,17,18,19,136,137,138,139",25.079,0.9958,0.0,4453217034,708470,6285.681869380496,,0,0
baseline,chase,A_same_ccd,1,,,136,1,,,0.0447,89.38,4456422981,1214,3670859.1276771007,0,,
corun,chase,A_same_ccd,1,wc_ntdqa,8,136,1,"137,138,139,140,141,142,143,399",17.878,0.0448,88.36,4454893964,1217,3660553.7912900574,,0,0
corun,chase,A_same_ccd,1,wb_load,8,136,1,"137,138,139,140,141,142,143,399",24.482,0.0157,86.13,4440507015,424,10472893.903301887,,0,0
baseline,chase,B_diff_ccd_same_socket,1,,,128,1,,,0.0453,87.22,4457559740,1231,3621088.334687246,0,,
corun,chase,B_diff_ccd_same_socket,1,wb_load,8,128,1,"136,137,138,139,140,141,142,143",24.533,0.0376,95.55,4447114180,1020,4359915.862745098,,0,0
corun,chase,B_diff_ccd_same_socket,1,wc_ntdqa,8,128,1,"136,137,138,139,140,141,142,143",17.788,0.0452,86.71,4450175513,1228,3623921.4275244297,,0,0
baseline,chase,C_diff_socket,1,,,0,0,,,0.0448,85.03,4453557794,1218,3656451.3908045976,0,,
corun,chase,C_diff_socket,1,wb_load,8,0,0,"136,137,138,139,140,141,142,143",24.838,0.0461,84.58,4453416084,1251,3559884.959232614,,0,0
corun,chase,C_diff_socket,1,wc_ntdqa,8,0,0,"136,137,138,139,140,141,142,143",17.802,0.0459,85.16,4447926038,1245,3572631.3558232933,,0,0
baseline,chase,D_both_sockets,1,,,0,0,,,0.045,84.63,4456298151,1223,3643743.3777596075,0,,
corun,chase,D_both_sockets,1,wb_load,8,0,0,"16,17,18,19,136,137,138,139",25.121,0.0459,85.15,4447232842,1245,3572074.5718875504,,0,0
corun,chase,D_both_sockets,1,wc_ntdqa,8,0,0,"16,17,18,19,136,137,138,139",24.404,0.0456,86.08,4453121540,1239,3594125.536723164,,0,0
