profile,placement,mode,n,bw_mean,bw_sd,delta_ipc_mean_pct,delta_ipc_sd_pct,delta_cpi_mean_pct,delta_cpi_sd_pct
chase,A_same_ccd,wb_load,1,24.482,0.000,-64.877,0.000,185.298,0.000
chase,A_same_ccd,wc_ntdqa,1,17.878,0.000,0.224,0.000,-0.281,0.000
chase,B_diff_ccd_same_socket,wb_load,1,24.533,0.000,-16.998,0.000,20.403,0.000
chase,B_diff_ccd_same_socket,wc_ntdqa,1,17.788,0.000,-0.221,0.000,0.078,0.000
chase,C_diff_socket,wb_load,1,24.838,0.000,2.902,0.000,-2.641,0.000
chase,C_diff_socket,wc_ntdqa,1,17.802,0.000,2.455,0.000,-2.292,0.000
chase,D_both_sockets,wb_load,1,25.121,0.000,2.000,0.000,-1.967,0.000
chase,D_both_sockets,wc_ntdqa,1,24.404,0.000,1.333,0.000,-1.362,0.000
l2hot,A_same_ccd,wb_load,1,24.627,0.000,-0.111,0.000,0.106,0.000
l2hot,A_same_ccd,wc_ntdqa,1,17.870,0.000,0.141,0.000,-0.144,0.000
l2hot,B_diff_ccd_same_socket,wb_load,1,24.556,0.000,-0.030,0.000,0.030,0.000
l2hot,B_diff_ccd_same_socket,wc_ntdqa,1,17.797,0.000,0.000,0.000,0.006,0.000
l2hot,C_diff_socket,wb_load,1,24.855,0.000,-0.151,0.000,0.154,0.000
l2hot,C_diff_socket,wc_ntdqa,1,17.793,0.000,-0.050,0.000,0.054,0.000
l2hot,D_both_sockets,wb_load,1,25.079,0.000,-0.080,0.000,0.083,0.000
l2hot,D_both_sockets,wc_ntdqa,1,24.188,0.000,-0.010,0.000,0.012,0.000
