claim,metric,value,unit,context
prefetch_bw,wb_load,15.765,GB/s,1t
prefetch_bw,wb_load,15.773,GB/s,1t
prefetch_bw,wb_load,15.763,GB/s,1t
prefetch_bw,wb_load,15.760,GB/s,1t
prefetch_bw,wb_load,15.762,GB/s,1t
prefetch_bw,wb_prefetchnta,15.678,GB/s,1t
prefetch_bw,wb_prefetchnta,15.673,GB/s,1t
prefetch_bw,wb_prefetchnta,15.681,GB/s,1t
prefetch_bw,wb_prefetchnta,15.679,GB/s,1t
prefetch_bw,wb_prefetchnta,15.674,GB/s,1t
prefetch_bw,wc_ntdqa,4.173,GB/s,1t
prefetch_bw,wc_ntdqa,4.172,GB/s,1t
prefetch_bw,wc_ntdqa,4.174,GB/s,1t
prefetch_bw,wc_ntdqa,4.175,GB/s,1t
prefetch_bw,wc_ntdqa,4.175,GB/s,1t
prefetch_victim_delta,wb_load,-0.160820,pct,l2hot_ipc_drop
prefetch_victim_bw,wb_load,24.810,GB/s,l2hot
prefetch_victim_delta,wb_prefetchnta,-0.160820,pct,l2hot_ipc_drop
prefetch_victim_bw,wb_prefetchnta,24.879,GB/s,l2hot
prefetch_victim_delta,wc_ntdqa,-0.060308,pct,l2hot_ipc_drop
prefetch_victim_bw,wc_ntdqa,24.841,GB/s,l2hot
prefetch_victim_delta,wb_load,-0.090398,pct,l2hot_ipc_drop
prefetch_victim_bw,wb_load,24.828,GB/s,l2hot
prefetch_victim_delta,wb_prefetchnta,-0.090398,pct,l2hot_ipc_drop
prefetch_victim_bw,wb_prefetchnta,24.847,GB/s,l2hot
prefetch_victim_delta,wc_ntdqa,0.070309,pct,l2hot_ipc_drop
prefetch_victim_bw,wc_ntdqa,24.847,GB/s,l2hot
prefetch_victim_delta,wb_load,-0.020074,pct,l2hot_ipc_drop
prefetch_victim_bw,wb_load,24.843,GB/s,l2hot
prefetch_victim_delta,wb_prefetchnta,-0.010037,pct,l2hot_ipc_drop
prefetch_victim_bw,wb_prefetchnta,24.876,GB/s,l2hot
prefetch_victim_delta,wc_ntdqa,0.080297,pct,l2hot_ipc_drop
prefetch_victim_bw,wc_ntdqa,24.811,GB/s,l2hot
prefetch_victim_delta,wb_load,0.060235,pct,l2hot_ipc_drop
prefetch_victim_bw,wb_load,24.778,GB/s,l2hot
prefetch_victim_delta,wb_prefetchnta,0.020078,pct,l2hot_ipc_drop
prefetch_victim_bw,wb_prefetchnta,24.945,GB/s,l2hot
prefetch_victim_delta,wc_ntdqa,-0.060235,pct,l2hot_ipc_drop
prefetch_victim_bw,wc_ntdqa,24.821,GB/s,l2hot
